APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9657194,10335171,9843530,10083763,9069941","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8793915,8732625,8247968,9338933,8541847","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"7867439,7664365,7664378,7672283,9706654","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10438865,10461870,10434972,10434971,10434970","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10326565,10654853,10324086,10324121,10680567","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"8072931,8511844,8074915,8070478,8070477","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7884497,8100298,7919183,7664619,8690240","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8662246,8519160,8999126,9233920,9281647","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9114665,8890309,8907066,8894260,8929492","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"8650834,8249299,8451535,8466329,8451536","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9782697,10003928,10003930,10006150,10006152","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9509438,9043041,9742471,9742469,9105743","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9513325,9614806,8996354,8996929,9403944","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"8204499,8307287,8510528,8504896,8334729","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9941052,9720734,9720190,9720189,9720188","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8443823,8442909,8251933,8251937,8251947","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10381668,10172438,10331041,10381666,10381667","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9882207,10101619,10383653,10468080,9838705","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8960275,9480206,8960218,9090018,9088344","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9197309,9195127,8603715,8605291,8605301","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8813609,9211357,8431983,9010966,8607976","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9914301,9690133,9690761,9690163,9690160","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9692270,10135023,10114998,10115003,10129303","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,8446031,8537894,8539592","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10584028,10583938,10583296,10583291,10583215","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"7684270,7683307,8131789,8143344,7932292","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8958119,9123506,8957709,8958950,8956917","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"8126406,8118780,8331645,8331391,8331644","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"10712152,10712151,10712150,10712149,10712148","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9287024,9625166,9692798,9468430,9515968","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9518897,9518899,9518904,8989737,8988958","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"10450885,9966987,10655524,10205060,9831543","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"7875425,7875387,7940949,7940935,8447165","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10413034,9597601,9753104,10165449,9927973","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"7656591,7668578,7845561,7885322,7880871","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9597601,9753104,10165449,9927973,10413034","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9263887,8843779,8705846,9038249,7934652","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"9542285,9536014,9540880,9534093,9360107","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"9319887,9947875,9947879,9947880,10223994","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"9358335,9194247,8014602,8307505,8532854","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10450011,10450010,10247594,10247592,10247591","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9554598,9477238,9478418,9478462,9479576","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9309081,9193112,9115429,9115446,9113997","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"10111982,10111866,10111759,10109293,10108026","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8850810,9460755,9462031,8694755,8695035","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9969095,9570703,9966081,9967850,9571045","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8457183,8520162,8520173,8520175,8531128","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"8379210,7847276,8382088,8382091,8381471","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9517894,9960555,9730475,10450248,9097289","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"10465117,10241413,10673774,10670172,10670167","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10569619,10343347,10347760,10348223,10557171","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9330046,9751714,9751711,9751710,9751709","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"10202544,10045652,10376790,8653563,8653564","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"10722847,10685290,10448536,10369394,9142352","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"9718541,9720734,9908046,9908053,9718540","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8138958,8364936,7938341,7938389,7938399","None,None,None,None,None","None,None,None,None,None"
