APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8885344,8693006,8377254,8379824,8318831","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8531341,8536036,8536037,8541847,9338933","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8752056,8926440,8756251,8916722,8901173","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9565384,9695908,9421907,9928385,9264682","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9978061,10159887,9637673,9939013,9775448","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10537743,10536567,9294003,8900971,9530611","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10322155,10441141,10130852,10360627,10130746","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8064254,8215883,8435494,7650479,7650486","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9712695,9403271,9403606,9403610,9403273","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9687968,10207642,9918404,10217136,10217137","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9528427,9352728,9977078,9977077,9977076","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"8193512,8215136,8215127,8215129,8215130","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8725230,8472305,8472725,8473018,8729008","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9228313,9198861,9277327,9228311,9228304","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8154082,8380605,8381420,8381416,8380065","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"7884581,8004987,8009486,8018052,8004945","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7666932,7666929,7839492,7664511,7666892","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"7678962,7674704,7668382,7683013,7685277","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8744300,8628343,9116914,9130846,9128645","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8272615,8115914,8274641,7845961,7845954","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8456143,8330544,8644947,8329146,8486383","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"10194496,10137942,9930352,9930759,9930827","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10190844,9742438,9977981,9987570,9537491","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"9512284,9684606,9660552,10130485,9888974","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9186636,9352827,9352830,9353763,9353793","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9667871,10086984,10549792,9853019,10330419","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"10430514,10430544,10641819,10650877,10413034","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"8147534,7938633,7938641,8327331,8113928","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"10048556,10473538,10048554,10048553,10048552","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"8720745,8401990,8725612,8720744,8550036","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9062196,9062054,9062052,9062026,9062182","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8926974,8261836,8911299,8911300,8333419","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"10436562,10589556,10601083,7932712,8141235","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10302868,10300711,10450710,10450854,10455032","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"7623192,8454664,10675713,10470302,10285797","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9174325,9121688,8961416,8959886,8962105","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8885651,8874104,8766909,8768636,8768731","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"9536803,9395599,9566019,9546722,9559675","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"10654760,10654763,10459932,10459931,10459930","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10459080,10457740,7991894,8128700,10463543","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"9001630,9932272,9001587,9323220,9699998","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9554606,9479576,9479993,9477918,9479790","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9193112,9309081,8509686,8624691,8822291","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8149989,8149991,8020738,8021062,8310258","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8505363,7901766,8144297,8051576,8046460","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"8933610,8334479,8723688,8933600,8723687","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8459125,8459117,8458449,8459070,8459115","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"10706321,10466941,10263343,10263342,10706329","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"10670109,10664948,9560824,9562090,10179394","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"10559603,8144939,8150047,7938718,8144938","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10586094,10569619,10557171,10348223,10347760","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"10340783,10687248,10493382,10220839,10458123","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"7690912,8288263,8106367,8104246,8087578","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"7658887,7884259,7640611,7658863,7626004","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8326736,8150114,8894409,8894408,8306120","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"7885092,7681302,7660318,7672429,7683829","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"7676555,8446496,8441634,8446493,8448672","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8268769,8637115,8490518,8262013,8365240","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"9292356,9059157,8822523,8927672,9681932","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"9020204,9011505,9214310,9222699,9437652","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8319762,7625183,7625194,7625239,7625148","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"7848533,7917330,7673872,8079051,8044806","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"9277052,9346576,7941928,7791636,7939800","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"8293006,8133638,8135095,8321866,8833304","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10701771,10514064,9782789,9949615,9674162","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"9488800,9095213,9089860,9090014,9089945","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"8090453,8298603,8492327,8298183,7694985","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"10228262,10228432,10477208,10478856,10485173","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"9839861,10558726,10558771,10558769,10558768","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"10677987,10683504,10092367,10094836,10700147","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"8501646,8432355,8289467,8298979,7768331","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"8609592,8989007,9066517,8077573,9259739","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"10434342,10434599,10851086,10636910,10629324","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"7932428,7681554,7928795,8138246,7683856","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"10715025,10712296,10712291,10712292,10712293","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"10689048,10416695,10415314,8929184,8789475","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"8728213,8728216,8715790,8727537,8728217","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"9537708,9193254,9318599,9308002,9313947","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"7886480,7892935,7759069,7759706,7759425","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"8726316,8547023,8710093,8545717,8540376","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"8828184,9355303,9056492,9043076,9043078","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"10007884,9998035,10171877,10226048,9797631","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"8044608,8150960,8043965,8043433,8036571","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"9351541,9149302,9149299,9149312,9351543","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"10429878,10677598,10368003,10584870,9267108","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"7924910,7651392,7629810,7936516,7901642","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"9206567,9339526,9997766,10003116,10003119","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"7895795,7908066,7664374,8184420,8184416","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"8768943,8769839,8765093,8769410,8770595","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"10703240,10672408,10495209,10495212,10495215","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"10673469,10078590,10326825,9844060,9872117","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"8232645,8334563,8334564,8334560,8334555","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"9774047,9440573,9980397,8799363,9455720","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"8885651,8768731,8768636,8766909,8882257","None,None,None,None,None","None,None,None,None,None"
8318381,m,w,"8843054,9042419,8588708,8318508,8318381","None,None,None,None,None","None,None,None,None,None"
9071539,m,w,"7667260,7666929,7666932,7666892,7664511","None,None,None,None,None","None,None,None,None,None"
8120588,m,w,"10663919,10065447,10264953,10264951,10264950","None,None,None,None,None","None,None,None,None,None"
