APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9768539,10435711,9936066,9962481,10178079","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8336923,9123843,8721480,8793915,8247968","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10187996,9782061,9719585,10188673,10187779","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9143829,9697743,9145617,9145624,9282384","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10747107,10435518,10643941,10434857,10453756","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10537743,10536567,10595133,10595896,10784019","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10544320,10130746,10322155,10360627,10441141","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"10672295,10327866,8147831,8070168,8070092","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10017961,10059105,10059131,10598623,10693345","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7793618,8471109,7790073,7790082,7790090","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8605381,9065464,9291406,8847623,8539640","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9741953,10114279,9857598,8436004,8686992","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9811734,10013287,10021032,10168609,10172976","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"8546293,8693890,9332306,8867961,8884375","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10475059,10488613,10459373,10459374,10459375","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"9452092,9076729,9445480,9234572,9072287","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7892940,7691831,7892941,7692191,8064562","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10468080,9928349,10574601,10553643,10551296","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"10203525,7687367,7684744,8114154,7884268","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9567191,10223360,10224683,10224717,10224827","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"10686097,10328173,10459630,10479062,10632081","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9269290,7900974,8734633,7882889,7692977","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10401899,10597079,10223596,9482608,9483217","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,10086915,10686348,10265512","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10708941,10581922,7794230,7939689,9557685","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"8138112,8138172,8138267,8321903,8321540","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9366382,9519771,9532070,9547741,9519844","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10451808,10670199,10296363,8545171,8335390","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"9067246,9067244,9320708,9067248,9320707","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9487321,9319995,10134972,9320071,9869047","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10000361,9284475,8913969,8925885,8910705","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9987622,10015256,9189072,9188204,9321184","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"10581922,10708941,9383250,9514978,9557685","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"8340847,8521043,8339608,8341989,8342359","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"7845561,7885322,7880871,7667951,7668578","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9174325,9172674,9103741,9121688,8961416","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9088360,9276581,9095157,9095165,9114009","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"8081770,7885367,8294757,8308668,8311055","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"9190794,9519854,9743067,9315726,9315771","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"8532854,8307505,8149926,8014602,8699693","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"9784662,9674261,10205959,10173608,10404992","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"8726763,8459117,8527517,8528514,8520164","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8624691,9015436,8509686,8465082,8822291","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8520392,7796875,7778922,8133733,8116078","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9823598,9823033,9975697,9975095,9948568","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9812018,10533818,10308405,10336442,10361235","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9344541,9307178,8282018,8326512,8473069","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"7849256,8595178,7938487,7938520,7847796","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9455450,8145360,7929527,8112468,8112469","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"7935368,7791662,8133542,8133541,8895629","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10347760,10343347,10569619,10557171,10348223","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9738418,9738177,10145316,9729185,9734842","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"10529887,10666636,8144929,8310236,8068485","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"9020439,9492403,9020613,9016165,9019498","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"9542218,9542221,9323319,9281685,9313208","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8092829,7878106,7930684,7901096,7932097","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"8044779,7658650,8484495,7937937,7936230","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"10468327,10455006,10501505,10099785,10102015","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"10618316,10426961,8604915,9245732,8825531","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8901254,8727251,8848098,8889727,9492681","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8173788,8473939,7961510,7961511,7961512","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"7848533,8432110,7796669,7869255,7917330","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"10248323,9990702,10229493,10223195,10179960","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"9105753,9563295,9323489,9757795,8990689","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10701771,10514064,10669197,10581539,10197364","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"8110233,8444472,8634012,8109692,8110158","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"7501989,8054022,7994435,8191269,7767324","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"10456145,10456619,10251338,10250550,10250536","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"9461547,9069263,8842994,8840230,8842993","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"8849314,9706086,9697264,9697263,9697261","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"8951512,9533890,9747330,9324029,9114642","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"7788755,8529009,8440309,8521365,8687991","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"8179467,8179882,8177642,8178867,8179525","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"10223195,10234127,9670338,9668787,9788271","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"9784621,9212582,9561933,9353887,9353886","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"10083992,10368045,10381455,10437588,10433822","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"9783794,9186889,9186841,9186354,9186356","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"8536415,8551833,8732713,8827048,8695511","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"8533716,7696442,8112678,7914248,8537085","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"10688981,10688715,10701774,10492046,10492633","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"9348645,9188495,9188443,9188322,9998950","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"8193724,8327329,9283257,9882445,9552255","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"8669558,9256463,8824529,8824530,9112161","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"8933663,8933658,9149295,9149303,9351541","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"8009669,8134127,8492009,8523178,8523181","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"7901642,7936516,7629810,7651392,7881980","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"9670043,9334672,9923509,10003103,10003117","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"8183844,8311634,8184087,8183530,8183361","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"7684217,7932543,10148626,10617661,9906171","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"8554393,8554931,8472329,8473040,8800580","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"10434770,9186491,9605108,10174309,10175633","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"10359139,10079772,10079898,10341323,10363049","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"10660987,10178021,10660990,10660992,10173772","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"9000120,9213339,8794412,8617223,8509163","None,None,None,None,None","None,None,None,None,None"
8318381,m,w,"8466375,8843054,8588708,8318508,8318381","None,None,None,None,None","None,None,None,None,None"
9071539,m,w,"7893043,7892940,7892941,8064565,8064562","None,None,None,None,None","None,None,None,None,None"
8120588,m,w,"10264950,10065447,10065444,10065443,10065442","None,None,None,None,None","None,None,None,None,None"
9548127,m,w,"8883213,8729882,8246591,8257655,8257657","None,None,None,None,None","None,None,None,None,None"
7858033,m,w,"9564694,9736785,9454132,10178077,9955301","None,None,None,None,None","None,None,None,None,None"
7691735,f,w,"8554916,8433290,8554311,8646447,8554312","None,None,None,None,None","None,None,None,None,None"
8789173,m,h,"8660415,8660407,8661438,8660774,9959375","None,None,None,None,None","None,None,None,None,None"
9527152,m,a,"9016112,9016471,9019375,9019083,9149273","None,None,None,None,None","None,None,None,None,None"
10217030,f,w,"8302230,8302228,8461287,8470611,8452135","None,None,None,None,None","None,None,None,None,None"
10104482,m,a,"7914339,7927151,7940837,8131604,8120347","None,None,None,None,None","None,None,None,None,None"
8787984,m,w,"10054982,9815958,9444681,9444587,9614247","None,None,None,None,None","None,None,None,None,None"
7921782,f,b,"10683293,9959042,10514944,10219354,9725777","None,None,None,None,None","None,None,None,None,None"
9222148,f,w,"10391545,10231234,10225619,10626886,10620639","None,None,None,None,None","None,None,None,None,None"
9674467,m,w,"8758202,10000361,8758156,8756564,8913969","None,None,None,None,None","None,None,None,None,None"
9273611,m,w,"10020579,9898607,10020476,10019013,10018973","None,None,None,None,None","None,None,None,None,None"
10480740,m,w,"9751091,9733025,8990262,8991655,9745313","None,None,None,None,None","None,None,None,None,None"
10361543,f,h,"9532321,9762897,9762894,9762893,9762892","None,None,None,None,None","None,None,None,None,None"
10241405,m,w,"10151850,10557178,10336530,9469562,9322678","None,None,None,None,None","None,None,None,None,None"
8300031,f,w,"8475794,8915865,8501983,8707379,8704217","None,None,None,None,None","None,None,None,None,None"
9339325,f,h,"9293815,9340007,9759653,9544701,9987322","None,None,None,None,None","None,None,None,None,None"
8814164,m,w,"9846198,10219080,9485464,9486473,9767656","None,None,None,None,None","None,None,None,None,None"
7924122,f,w,"8685098,8695281,8078994,8099426,8092666","None,None,None,None,None","None,None,None,None,None"
9672444,f,h,"10452498,10445081,10856208,10669673,10656428","None,None,None,None,None","None,None,None,None,None"
8672569,m,w,"9562020,9390021,10003928,10003929,10006150","None,None,None,None,None","None,None,None,None,None"
9688831,f,w,"10091665,10091650,10265515,10264871,10264033","None,None,None,None,None","None,None,None,None,None"
10374944,m,w,"9485315,9491692,9933796,9936310,9938407","None,None,None,None,None","None,None,None,None,None"
10208856,m,h,"10437809,10207600,9787447,10436322,9634236","None,None,None,None,None","None,None,None,None,None"
