APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8849499,8606587,8550203,8606999,9095454","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"7664378,7672283,7664365,7867439,8732790","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8484318,8805745,8693014,9017816,10749018","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10094457,10095406,10677565,10253131,10634523","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10555519,9907503,10216255,10693345,10598623","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9924655,9321307,9924653,9475566,9475565","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7638021,8264290,7940064,7586521,7906005","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8053213,8053133,8053186,8053206,8053227","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10478165,9804346,9804344,9804343,9804290","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7845330,7991378,7847078,7847079,7743108","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9066553,9692612,9692533,9692534,9692535","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"10588884,10588068,10586206,10586204,10586202","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9921226,9146146,9146207,9146144,9146142","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10526267,10526269,10526552,10526551,10526549","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8695290,8915479,8725469,8725468,8725471","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8448208,8082211,8081370,8081289,8081465","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8711423,8868954,8913107,8414034,8413975","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"8110645,8301023,7941893,7708382,7708096","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7714327,7914363,7897598,7860420,7888274","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9985910,10007857,10160918,10166865,10172924","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8644944,8486383,8329146,8644947,8330544","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"10624752,10457348,9978061,9979867,9989832","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10709378,10709379,9627419,10441646,9627727","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"9152601,9455656,9674453,9302373,9302388","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10480934,10683209,10693151,10690628,10690626","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10371903,10134229,9674972,9674974,9674975","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"10512948,10703453,9701100,8965551,9137602","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"9753230,9592892,9592093,9592089,9592096","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8736363,9320709,8846544,8846541,8846546","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"10098064,9471784,9565687,9320128,9320071","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9143776,8990283,8988957,8989329,8989738","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8926397,8734406,9136088,8545842,8436395","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8360442,8359656,8359582,8129510,8360546","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9091398,8925764,9107333,8928040,8912972","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10393600,9933610,10649426,10164866,8879198","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9937636,9724320,9931108,9856244,9566832","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8508866,8508874,9320744,9525272,9525280","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10445419,10524286,10446697,10447235,10446346","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"9263887,9038249,8705846,8843779,8617223","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"8151106,8845658,8252773,8696864,8524700","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"9558641,9558600,9414391,9413012,10665204","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9478462,9477877,9478417,9477238,9478479","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8072692,8081093,8072163,8072162,8072161","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"9485283,9266285,9266291,9266294,9266293","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8375700,8051676,7676304,7676321,7676342","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9896672,9146203,9146207,9146142,9145867","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"10828588,10829529,10831173,10830615,10830132","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"10765521,10764768,10597899,10708919,10597853","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9044624,9338254,9149286,10676206,10199242","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"8144939,7943167,8734648,8144938,7938718","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10576491,10704325,10704819,10655239,10655674","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9514751,8848726,8849109,9055268,8849116","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"9110917,8904645,8703654,8515985,8431599","None,None,None,None,None","None,None,None,None,None"
