APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"10178079,9576667,9576864,9768539,9767857","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"7743509,8538928,7742856,7908879,8105515","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8897371,8554363,8898075,8705520,8707458","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9565384,9695908,9421907,9928385,10202909","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10746147,9907503,10216255,10555519,10017961","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9188332,9188331,9686784,9321247,9687750","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7795108,7906005,7848336,7799840,7692109","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8101077,8098011,7992050,7991570,7991231","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10254387,10465118,10020813,10020815,10020816","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7847078,7551983,7551992,7555392,7558266","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8293633,8690690,8691621,8688105,8690718","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"10668993,10408485,10622638,10622635,10622630","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9675126,9146202,9900595,9900596,9900599","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9940998,9228311,9617184,9617185,9617186","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8695291,8381418,8380609,8380605,8380612","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8654352,8442389,8081465,8081510,8081493","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7852597,7847776,7852250,7852410,7852275","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9844531,9882207,9970386,10186853,9960850","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7920822,7920814,7680243,7680230,7860425","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9563293,10229453,10231192,10234007,10234085","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8729741,9728051,9410593,9408154,9405193","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9774232,10229452,10229469,10231192,10234007","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10729277,10704617,10704611,10704609,10704599","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"9449587,10242454,10242457,10250566,10251377","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9354446,9186361,9353768,9354482,9353764","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10592414,10158386,10134213,10134214,10134217","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9597601,10413034,9927973,10165449,9753104","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"9393650,10002340,9565398,9565399,9565400","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"9320706,8736363,9320708,9067248,9067247","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"10619198,10146188,10154945,10155909,10155996","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"8988960,9308965,9318531,9323405,9331636","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8911300,8535751,8911299,8728845,8715797","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"7959955,8360666,8359698,8129471,8360538","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10466916,10456188,10450710,10301109,10300924","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"8213978,8213827,8213981,8214456,8214062","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9812039,10017138,9812052,9985690,9987453","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8721322,8717558,8526362,8516451,8516453","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10479451,10481324,10252441,10265818,10007222","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8911804,8522269,8325003,8716711,8267853","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10168573,10691317,9944636,10457369,9708117","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10666871,10667123,10666025,10665204,9928392","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9103568,9748855,9102722,9137623,9137625","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8377831,8105153,7837249,8104222,8105155","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"9093027,8892722,9927577,9927572,8892717","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8375884,7671890,7671888,7671886,7671884","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9969092,9484496,9484404,9484500,9484495","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8459768,9320105,8528518,8520174,9116625","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"9700082,9776477,9778794,9592410,9518128","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9043623,9293300,9150587,9146534,9150566","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"10260444,10682536,10675505,10675506,10675508","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10348223,10586094,10557171,10347760,10343347","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"8848724,9750580,9706068,9706072,9706079","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"10812062,10812798,10812890,10510294,9282807","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"10614312,10402246,10570975,9884411,9883453","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"9991750,9323313,9323318,9313204,9281681","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8167638,8360273,7959959,7959955,7959952","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"10444448,10619631,10434979,10435287,10598580","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8541873,9103500,8517254,8330927,8380038","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"9321301,9687750,9931288,9931275,9686783","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8665891,8733920,8927099,7997152,8006864","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8264115,8071638,7878905,7878899,7793776","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"10712148,10712149,10712150,10712151,10712152","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"7924082,7941027,8382515,8382528,8382526","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"9268724,9113189,8401262,8517063,8669367","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10636910,10434599,10851086,10426470,10434342","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"7671972,7672164,7670071,7670074,7670076","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"9377090,9137708,9377336,9377315,9293387","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"8520037,8519430,8519426,8520044,8520031","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"9520145,10139047,10139042,10139040,10137979","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"9171453,9526978,9528418,9526369,9526975","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"8502314,8501646,8127848,7768179,7768331","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"10707395,10707347,10556512,10556513,10556514","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"9782418,10226176,10670813,10679014,10681220","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"9381820,10228025,10229453,10229469,10231192","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"9520154,9744635,9518781,9553704,9568746","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9565524,9336574,9337386,9347271,9336634","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"10704640,10290746,10704638,10480959,10704644","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"9724562,9537709,9192835,9191207,9192832","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"8703833,8551820,8543731,8351734,8351884","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"7982955,7975810,7983563,7983566,7983569","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"9258544,9257890,9260367,9260365,9257611","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"9557534,9734121,10207716,9969453,9386094","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"8973800,9759916,8974156,9124876,9124872","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"8118202,8523445,8291433,7931855,8533716","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"7574507,7575219,7779416,7914250,8039905","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"8793022,9544765,8793021,8793020,8793023","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"10075860,9917267,10075852,10310689,10310690","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"10518992,10708049,10518756,10518783,10704606","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"10630245,10608163,9731061,9731024,10159851","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"9130288,9129747,9130289,9130286,8882841","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"7812199,7792267,8043512,8043510,7770859","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"8229227,8514610,8335406,8335408,8514609","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"10169439,10600018,9922293,9922291,9918411","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"8106378,8272655,8457221,8500162,8473774","None,None,None,None,None","None,None,None,None,None"
8318381,m,w,"8829321,9042419,8464820,8318381,8318508","None,None,None,None,None","None,None,None,None,None"
9071539,m,w,"9382234,9981759,10250499,10251215,10251229","None,None,None,None,None","None,None,None,None,None"
8120588,m,w,"9563295,8990689,9757795,9323489,9105753","None,None,None,None,None","None,None,None,None,None"
9548127,m,w,"10631995,10632003,10085985,10085984,10085983","None,None,None,None,None","None,None,None,None,None"
7858033,m,w,"7860566,8099596,7913858,7909643,7909565","None,None,None,None,None","None,None,None,None,None"
7691735,f,w,"8389405,8534229,8508998,8390913,8501615","None,None,None,None,None","None,None,None,None,None"
8789173,m,h,"9395797,9179553,9180056,9204319,9185857","None,None,None,None,None","None,None,None,None,None"
9527152,m,a,"10379210,10330584,10186749,10144440,10597055","None,None,None,None,None","None,None,None,None,None"
10217030,f,w,"9935976,9747383,9623982,10375585,10584495","None,None,None,None,None","None,None,None,None,None"
10104482,m,a,"10756808,10750700,10750627,10750083,9022397","None,None,None,None,None","None,None,None,None,None"
8787984,m,w,"8307988,8116524,8586461,8651848,8711215","None,None,None,None,None","None,None,None,None,None"
7921782,f,b,"8879187,8700484,8848316,8322575,8335423","None,None,None,None,None","None,None,None,None,None"
9222148,f,w,"9432540,9222148,9584340,9996553,10470762","None,None,None,None,None","None,None,None,None,None"
9674467,m,w,"9904675,9537563,9260645,9255141,9258544","None,None,None,None,None","None,None,None,None,None"
9273611,m,w,"9924195,10831117,10064152,10292992,9134876","None,None,None,None,None","None,None,None,None,None"
10480740,m,w,"10684932,10059297,10226328,10226351,10227803","None,None,None,None,None","None,None,None,None,None"
10361543,f,h,"9557016,9197994,9338042,9337431,9338047","None,None,None,None,None","None,None,None,None,None"
10241405,m,w,"10475829,10241405,10475828,10475830,10021041","None,None,None,None,None","None,None,None,None,None"
8300031,f,w,"9526215,9524950,9975609,9975573,10015200","None,None,None,None,None","None,None,None,None,None"
9339325,f,h,"8326512,8326509,8473069,8282267,8282588","None,None,None,None,None","None,None,None,None,None"
8814164,m,w,"9654665,8997925,8876347,9416072,9439643","None,None,None,None,None","None,None,None,None,None"
7924122,f,w,"7914356,8259461,8466275,8440779,8459018","None,None,None,None,None","None,None,None,None,None"
9672444,f,h,"9129200,9252258,9257422,9257413,9252264","None,None,None,None,None","None,None,None,None,None"
8672569,m,w,"8514263,8467983,8469382,8460020,8460018","None,None,None,None,None","None,None,None,None,None"
9688831,f,w,"7859939,8131257,8134475,7928876,8134780","None,None,None,None,None","None,None,None,None,None"
10374944,m,w,"10625172,10625579,10625577,10625576,10625575","None,None,None,None,None","None,None,None,None,None"
10208856,m,h,"10352461,10211467,10405044,10089077,10630286","None,None,None,None,None","None,None,None,None,None"
10197904,m,a,"8144263,8114572,7809553,7809554,7809555","None,None,None,None,None","None,None,None,None,None"
8520046,m,w,"7994522,8149823,7994416,8144354,7994580","None,None,None,None,None","None,None,None,None,None"
9332366,f,w,"10229484,10002145,10463994,10921909,10690514","None,None,None,None,None","None,None,None,None,None"
8920545,m,w,"9995460,10234154,10470777,10470779,9994979","None,None,None,None,None","None,None,None,None,None"
10013563,m,w,"9900325,10017414,9900258,9900281,9900284","None,None,None,None,None","None,None,None,None,None"
7778742,m,w,"8574512,8425027,8516000,8515997,8427338","None,None,None,None,None","None,None,None,None,None"
