APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8997390,9319794,9565173,9323560,9145766","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8247968,8336923,8793915,8732625,9123843","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"7908145,7880349,7665031,7662466,7668684","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9928385,9421907,9695908,9565384,10432084","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9989832,9774044,10457348,10159887,9979867","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10784019,10784407,10783393,9828246,10132315","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8467802,8690240,7664619,7919183,8100298","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9544151,9743795,9411341,10241239,9965878","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9543923,9938659,9929448,9929449,9929450","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10379210,10377742,10378934,10379613,10190949","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9548545,9205191,9562023,9548539,9548544","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9857598,9741953,10114279,7798339,7798326","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8852011,8449601,8734507,8734505,8281153","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10425231,10609544,10646281,10646276,10646271","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9658441,9526088,9524992,10197344,10897683","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"9077034,9234572,9076666,9078827,9077988","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8110379,7762619,7921800,7689895,7689901","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10641819,10650877,10430544,10430514,9204120","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"9696863,9276457,9275763,9276887,9276178","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"7899875,8266853,8115053,8144872,7910454","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8644947,8456143,8330544,8644944,8486383","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8927819,9056630,8927904,9513717,9545258","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10251990,10485311,10021639,10693843,10693844","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8351930,9123576,8539754,8539587,8545750","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9646354,9644527,9644034,9644033,9644032","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"8822811,8325213,8453238,9750887,9750891","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"10294431,10295867,10295716,10520457,10108885","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10296363,10670199,10451808,10004030,9995019","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"10459581,10459584,10684010,10684021,10288582","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9559620,9320128,9471784,9491912,9687652","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"8990336,9537515,9520292,9537512,9526490","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"10015256,9535290,9562053,9769005,9768431","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8289977,9787458,10225432,10456284,10462502","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10413034,9753104,10165449,9927973,9597601","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"9821365,9821966,9598167,9822752,10054384","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9927973,9597601,9753104,10165449,10413034","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"7919722,7893972,7623056,7591140,7689165","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"9129767,9097820,9137753,9119111,9104056","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"7591140,7575225,7572911,7609151,7619103","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"8699693,8014602,8149926,8532854,8307505","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10692581,10222557,9940812,9940813,10657363","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9748857,9103992,9336164,9336162,9336163","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8311623,8159923,8590313,8316157,8320789","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8149989,8021062,8020738,8149991,8020799","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8910618,9099685,8512656,8487364,8499254","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9693079,9484590,9485644,9484910,9482279","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9476640,9476618,9478480,9476389,9478513","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"9625958,10017368,8379207,8309794,8541625","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"10664948,9755097,9564110,9566197,9557490","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"9804361,10700003,10686325,10686330,10686334","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10343347,10586094,10569619,10557171,10348223","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"8677141,9462744,9462743,9462748,9473011","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"8106367,8104246,8087592,8288263,7688638","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"8382374,8382376,8845238,8391974,8391975","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8915477,8381420,8380605,8380612,8532644","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8516137,8415736,8516139,8516142,8414961","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"9913450,9894719,9285910,9892942,9892943","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8045899,8045718,8045892,8045891,8045887","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"10618316,10426961,9022512,8825531,8604915","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8705846,9038249,9263887,8843779,7591140","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"7664567,8145419,8365005,8914823,8797496","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"9076634,8921275,8921276,8604200,8604201","None,None,None,None,None","None,None,None,None,None"
