APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"7934849,8885344,7879718,7934327,8144663","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8721480,8890180,8732625,8793915,8247968","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8692021,8514717,8712452,8733120,8906517","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9695908,9565384,9928385,9421907,10441514","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9636928,9627114,10159887,9774044,10242772","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10491953,10665746,10378786,10759550,10759735","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7919183,7664619,8100298,7884497,8690240","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"10193969,10310529,10191573,10189368,10187333","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9146688,9114661,9126554,9114672,9135154","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9182822,9593474,9181407,8814559,8814466","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8462809,8464336,8463781,8464462,8464497","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9443479,9741091,9785500,9785499,9785496","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9972762,9451954,9145866,9458597,9145862","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"7677333,7666251,7939058,7849341,8536992","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8098867,8053807,7685846,7685842,7685837","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"7876956,7798213,8004982,8004987,7616775","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8338454,8338455,8221472,8222946,8725993","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10704736,10543729,10574601,10624283,10887735","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8145078,7646647,7650793,8151055,8128675","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8605628,8988580,8802882,8802881,8791700","None,None,None,None,None","None,None,None,None,None"
