APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9843530,10083763,9657194,10335171,9144844","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"10405099,10418618,9930463,9934219,10152373","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"7677989,7677986,7677984,7668684,7662466","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9421907,9565384,9695908,9928385,9890656","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"8707069,8722127,8710178,8534761,8326068","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10709636,10592780,8877413,8496732,8877412","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7884497,8100298,7919183,7664619,8690240","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9743795,9411341,10241239,9965878,9544151","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10288585,10288582,10459581,10459584,10684010","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9044778,9457435,9247181,8912671,8913586","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9205193,9390021,10003929,10003930,10006150","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9105744,9105743,9267971,9272883,9282431","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8823610,8565707,8563971,8564875,8564859","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"7666251,7681099,7924597,8536992,7849341","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10704389,10704388,10704387,10704367,10704366","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"7622082,7798554,8033151,8005491,8020043","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10599932,9905570,10178136,10133178,10650353","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10468080,9882207,10574601,10553643,10551296","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"10169874,10577797,10357968,10357970,10366034","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"10357966,10171121,10162823,10703357,10703351","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8604913,8733202,9912346,10360448,10087002","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9567637,9481714,9697816,9277472,9098205","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9625339,10251992,10695960,10695963,10247724","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"10154294,10304516,10300626,10178968,10173994","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10436133,10604394,9994914,9782908,9186359","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10003941,9380810,9380898,9380900,9380826","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8892951,8319400,8702064,8718964,8166312","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10451808,10670199,10296363,9116628,8534769","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"10712150,10712153,10712152,10712151,10712148","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9961457,10134972,9565687,9320128,9320071","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10570917,10350448,10350001,10573170,10700018","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8638934,9049483,9069795,9049484,9069804","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"9283524,8917179,8775649,8787103,8917178","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"8527853,8521390,8705294,8338911,8728671","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10743669,10744578,10744678,8306719,8208321","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"10618316,10426961,8604915,9022512,9245732","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8874104,8885651,8882257,8766909,8768636","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"9340202,9205998,9547441,10443383,9713886","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8768636,8768731,8874104,8885651,8882257","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"8324126,8133151,7979494,8469875,10217221","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10493382,10340783,10687248,10665204,10087183","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9137622,9336710,9551345,9137625,9137623","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8121625,8122324,7846408,7846354,7941894","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8235263,8237596,8701328,8603252,8606864","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9823548,9931155,9822061,9823033,9823381","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9568436,9449998,10204743,10204744,10204746","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8726766,8528514,8533787,8520173,8520175","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"8378016,8068512,8068518,8547629,8537383","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9044778,9247181,9246531,9044776,9044774","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"8127773,8120814,8309518,8309517,8309516","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10348223,10343347,10347760,10586094,10557171","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9088208,9514730,9750578,9750579,9750580","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"7847368,7687907,7688116,7686943,7847033","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"9970587,9119041,9108388,9305100,9513573","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"10381612,10617650,10271683,7796875,7681430","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"7618790,8051049,8051047,8049998,8051050","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"8637915,8826018,8810639,9034537,8828065","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"7929461,7559949,7627179,7627442,7561594","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"10618316,10426961,8825531,9022512,8604915","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8768731,8768636,8766909,8882257,8885651","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"7903010,7907322,7942410,7895110,7894329","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"10008512,10208683,10656300,10449317,10657882","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"9166440,9532906,9751331,9700154,9698974","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"8813609,9211357,8431983,9010966,8607976","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"9675060,9674675,9789168,9788245,10173611","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"9146035,9506679,9476774,9729515,9312738","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"10448054,10592377,10665059,10665009,10662868","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"9339963,9340044,9339899,9339893,8383589","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"8229227,8335406,8335408,8514609,8514610","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"9789807,9789809,9978552,9983551,10168415","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"9533890,9747330,9324029,9114642,8951512","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"9493556,10166934,9313064,9313065,9313019","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"9001462,9001630,9001756,9512632,9699998","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"8901366,8929407,8332953,8332952,8193694","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"10688715,10688981,10250362,10250361,10241309","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"8894505,9339769,9559652,9553660,9537434","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"8310511,8310521,8469476,8469484,8469499","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"9390168,9390391,7675361,7660406,8442276","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"7937512,7894551,8146745,8133630,7640922","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"8065747,7695547,7692251,7983252,7984290","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"9249553,9033911,9039601,9041617,9045625","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"8904698,9118282,8924233,8680594,9966005","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"7935567,7692305,10047605,10047548,10047390","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"10234034,9770707,9555076,10005508,9386846","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"7687483,7900492,7687500,7687347,7687496","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"9332087,8793023,9332089,9332091,9332090","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"9997768,10238903,10003918,10238904,10244904","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"10274937,10493321,10697357,10840200,10273747","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"9813753,9813714,9813589,9813191,9812865","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"9849375,9849919,9849376,9849377,9849378","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"8882257,8885651,8874104,8768731,8768636","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"9577443,9702001,9749167,9577979,10080010","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"9783397,9783372,9812381,10413850,10006880","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"8768731,8768636,8766909,8882257,8885651","None,None,None,None,None","None,None,None,None,None"
8318381,m,w,"9145709,8936340,9145739,8936260,9555026","None,None,None,None,None","None,None,None,None,None"
9071539,m,w,"10642310,10498859,10498726,10498020,10645898","None,None,None,None,None","None,None,None,None,None"
8120588,m,w,"8916813,8787871,9087275,9320782,9105753","None,None,None,None,None","None,None,None,None,None"
9548127,m,w,"9355676,10005050,10005933,10005932,10005907","None,None,None,None,None","None,None,None,None,None"
7858033,m,w,"10543368,10707451,10708037,10543288,10543359","None,None,None,None,None","None,None,None,None,None"
7691735,f,w,"9010966,8607976,8813609,9211357,8431983","None,None,None,None,None","None,None,None,None,None"
8789173,m,h,"10701083,10630618,8886971,8699771,8921997","None,None,None,None,None","None,None,None,None,None"
9527152,m,a,"8927904,9056630,9527124,9745733,9773310","None,None,None,None,None","None,None,None,None,None"
10217030,f,w,"9935976,9747383,9623982,10459630,10328173","None,None,None,None,None","None,None,None,None,None"
10104482,m,a,"9743693,9394525,10205411,9525284,9564864","None,None,None,None,None","None,None,None,None,None"
8787984,m,w,"10358069,10358379,10548819,10569668,9605176","None,None,None,None,None","None,None,None,None,None"
7921782,f,b,"8969452,9882011,9876499,7664954,7664526","None,None,None,None,None","None,None,None,None,None"
9222148,f,w,"10456314,10458355,10458886,10274206,10269806","None,None,None,None,None","None,None,None,None,None"
9674467,m,w,"8477191,8334546,8334567,8334555,8334560","None,None,None,None,None","None,None,None,None,None"
9273611,m,w,"9494700,9706654,9319816,9177874,9812311","None,None,None,None,None","None,None,None,None,None"
10480740,m,w,"9113058,9522828,9742998,9745313,9747101","None,None,None,None,None","None,None,None,None,None"
10361543,f,h,"10005123,9767031,9767029,9767024,9767022","None,None,None,None,None","None,None,None,None,None"
10241405,m,w,"10446751,10447513,10630956,10632021,8269774","None,None,None,None,None","None,None,None,None,None"
8300031,f,w,"10236382,10208992,9649268,9401936,9401128","None,None,None,None,None","None,None,None,None,None"
9339325,f,h,"10810884,10913699,9344541,9307178,9772885","None,None,None,None,None","None,None,None,None,None"
8814164,m,w,"10356122,10312824,10308509,10130323,10130308","None,None,None,None,None","None,None,None,None,None"
7924122,f,w,"9491692,9701015,9169832,9306750,9295954","None,None,None,None,None","None,None,None,None,None"
9672444,f,h,"7787771,7787766,8447600,8737348,8248242","None,None,None,None,None","None,None,None,None,None"
8672569,m,w,"7892341,8092628,8097321,8097322,8097323","None,None,None,None,None","None,None,None,None,None"
9688831,f,w,"10440734,10458143,10692838,10692694,10044927","None,None,None,None,None","None,None,None,None,None"
10374944,m,w,"10449317,10008512,10656300,10208683,9813821","None,None,None,None,None","None,None,None,None,None"
10208856,m,h,"9001772,9001699,9938321,10454305,10173750","None,None,None,None,None","None,None,None,None,None"
10197904,m,a,"10341095,9823831,9395865,9623311,9607558","None,None,None,None,None","None,None,None,None,None"
8520046,m,w,"9345581,9206766,9953834,9501560,9492372","None,None,None,None,None","None,None,None,None,None"
9332366,f,w,"8503490,8659460,8849448,8328970,8328973","None,None,None,None,None","None,None,None,None,None"
8920545,m,w,"9132249,8717634,9132248,8729479,9132246","None,None,None,None,None","None,None,None,None,None"
10013563,m,w,"10017222,10219251,9831503,9831424,10219955","None,None,None,None,None","None,None,None,None,None"
7778742,m,w,"9246899,10316999,9394797,9646359,9517140","None,None,None,None,None","None,None,None,None,None"
8849042,m,w,"10624351,10617370,10437135,10436554,10224093","None,None,None,None,None","None,None,None,None,None"
8879187,f,b,"8795892,8927055,9536881,9324348,9119098","None,None,None,None,None","None,None,None,None,None"
9612492,m,w,"8989446,9747168,9534476,9534477,9747177","None,None,None,None,None","None,None,None,None,None"
7903428,f,w,"8416904,8539059,8721452,8721451,8721446","None,None,None,None,None","None,None,None,None,None"
8920695,m,h,"9482608,9482979,9483217,9967767,10143214","None,None,None,None,None","None,None,None,None,None"
10245896,m,a,"9986920,10677057,10486041,10479001,10305191","None,None,None,None,None","None,None,None,None,None"
7573426,m,w,"9031759,9275470,9697804,8897762,8470154","None,None,None,None,None","None,None,None,None,None"
7656696,m,h,"8915234,8744297,8744298,8744299,8744300","None,None,None,None,None","None,None,None,None,None"
8376563,m,w,"8538756,8381777,8519055,8492036,8538747","None,None,None,None,None","None,None,None,None,None"
9100656,m,h,"10625175,10625578,10625690,10625689,10625688","None,None,None,None,None","None,None,None,None,None"
9067860,m,w,"7931618,7931155,7931147,7931490,10271987","None,None,None,None,None","None,None,None,None,None"
10439933,f,w,"10223250,10064939,10063779,10064514,10064658","None,None,None,None,None","None,None,None,None,None"
9893850,f,w,"9824540,9588477,9616809,9191342,9198478","None,None,None,None,None","None,None,None,None,None"
9852507,f,w,"10402255,10152378,9657864,9929454,9783884","None,None,None,None,None","None,None,None,None,None"
7750586,m,w,"9394525,9762886,10205411,10223169,9393866","None,None,None,None,None","None,None,None,None,None"
9752514,m,w,"9593335,9593336,9987623,9987624,9987625","None,None,None,None,None","None,None,None,None,None"
9547256,m,w,"7936907,7681066,7918039,8078840,7684588","None,None,None,None,None","None,None,None,None,None"
10691911,m,w,"10680554,10251973,10236314,10236315,10236317","None,None,None,None,None","None,None,None,None,None"
9989552,m,w,"10631927,10439370,9352804,9546642,9684606","None,None,None,None,None","None,None,None,None,None"
8365163,m,w,"7893695,7884803,7760698,7917751,7907353","None,None,None,None,None","None,None,None,None,None"
7905197,m,w,"7694268,7930612,7694326,7694311,7693824","None,None,None,None,None","None,None,None,None,None"
9533996,f,w,"8882257,8885651,8874104,8768731,8768636","None,None,None,None,None","None,None,None,None,None"
8056801,f,w,"7927824,7487362,7897216,10013122,9931155","None,None,None,None,None","None,None,None,None,None"
9475082,f,w,"9483217,9482979,9482608,8339429,8154990","None,None,None,None,None","None,None,None,None,None"
7797602,f,b,"8300115,8547629,8068512,8068513,8068518","None,None,None,None,None","None,None,None,None,None"
8691551,m,w,"8639470,8436125,8232944,8232539,8232164","None,None,None,None,None","None,None,None,None,None"
7658237,m,w,"9646359,9246899,10316999,9394797,9517140","None,None,None,None,None","None,None,None,None,None"
8375469,f,w,"8839960,9060862,8915035,8853788,8870282","None,None,None,None,None","None,None,None,None,None"
9900325,f,h,"10017222,10219251,9831503,10643990,10219955","None,None,None,None,None","None,None,None,None,None"
8659423,m,w,"8977573,8477191,8685981,8686852,8686848","None,None,None,None,None","None,None,None,None,None"
9978601,m,w,"10645467,10645719,10645746,10645964,8712256","None,None,None,None,None","None,None,None,None,None"
8399839,m,w,"10731254,10731013,10730758,10003838,9565981","None,None,None,None,None","None,None,None,None,None"
9565766,m,w,"9252260,8619366,9049264,9044570,9068126","None,None,None,None,None","None,None,None,None,None"
9317706,f,w,"8391950,8530163,9119535,8784175,8914169","None,None,None,None,None","None,None,None,None,None"
9514768,f,w,"8143466,8145677,8144917,8527660,8314022","None,None,None,None,None","None,None,None,None,None"
9550778,m,b,"7618456,8065434,8269049,8256564,8257586","None,None,None,None,None","None,None,None,None,None"
8066691,m,h,"8640216,8252132,8130518,8130208,8130046","None,None,None,None,None","None,None,None,None,None"
9414391,m,w,"10692577,9940813,10657367,10224095,10224094","None,None,None,None,None","None,None,None,None,None"
9608711,m,w,"9869524,10492010,10467167,9869416,10695086","None,None,None,None,None","None,None,None,None,None"
10404437,m,w,"9995112,9467959,9994531,9464174,9552710","None,None,None,None,None","None,None,None,None,None"
9522003,m,w,"7849041,7897916,7849039,7912258,7617881","None,None,None,None,None","None,None,None,None,None"
9263859,f,w,"9686556,9256417,9318390,9263870,9246394","None,None,None,None,None","None,None,None,None,None"
10525192,f,w,"9449587,10242454,10242457,10250566,10251377","None,None,None,None,None","None,None,None,None,None"
8790574,m,h,"8895402,9320887,8638405,9116281,8743255","None,None,None,None,None","None,None,None,None,None"
9644048,f,a,"10456915,9995018,10238128,9674154,9787503","None,None,None,None,None","None,None,None,None,None"
8461242,f,w,"9275097,9356598,9356597,9273238,9551139","None,None,None,None,None","None,None,None,None,None"
9085450,m,w,"10610484,10615850,10444016,10449483,10449608","None,None,None,None,None","None,None,None,None,None"
