APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9565173,8997188,9144844,9145766,9323560","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"10308198,10480792,10693795,7675391,7991555","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"7741691,7551991,7547058,7991864,7551996","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9695908,9565384,9421907,9928385,9264682","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9907503,10059105,10017961,10555519,10059131","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9188418,9321301,9924653,9924655,9926927","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10220891,10019478,9217469,9933546,9476215","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"7676020,7680208,7674024,7670340,7678587","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10647827,10458399,10647838,10458158,10458160","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7741691,7551990,7558266,7551996,7547058","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9462725,9248853,9261446,9259903,9259901","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9691306,9657008,9657018,9657017,9657016","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9414454,9404755,9356804,9356808,9196547","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9393241,9831045,9836782,9836781,9836779","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"7668115,8044801,7668798,7680823,7680819","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8638038,8081491,8638048,8654352,8638040","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"9810824,10214461,9973203,10438803,10564169","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9655073,10553643,10551296,10543729,10186853","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"9480206,9532081,9089977,9088344,9090070","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9137060,9478451,9346605,9314607,9321351","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8729741,8644947,8456143,8330544,8644944","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8354652,8355129,8355743,8355141,8335509","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10729422,10526101,10704615,10704611,10704609","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"10437469,10437534,10213480,10271164,10130485","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"8469468,8469497,9049477,8469493,8469482","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9893785,10134712,10371234,10371233,10371232","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8013778,8145685,8527661,8528440,8477078","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10020393,9929918,9385115,9963206,10163167","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"9119606,9705808,9705810,9705811,9736795","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9423472,9429510,9421467,9616204,9608805","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9139912,9308963,9139905,9341298,9139900","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9769005,9987622,10015256,9189072,9188204","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8306748,8360160,8471128,8458567,8537960","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10165449,10413034,9927973,9597601,9753104","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"8050443,8050352,8033543,8032891,8031017","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9172674,9174325,9103741,9121688,8961416","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9321528,10057930,10174705,10223146,10202791","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10673590,10842106,10168669,10421288,10468871","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8089308,8500162,8288353,8279451,8291228","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"7886194,7843094,8884800,8356894,8891510","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"9791149,9928881,10450087,10432056,10404992","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9932839,10244938,10690447,10003228,10469396","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"10450867,10686387,10213067,10213068,10213069","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"10249344,10472489,10060456,10624203,10624202","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9663257,9457312,9475557,9475160,9475558","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9570698,9733763,9696246,9697194,9697195","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9476552,9476678,9476681,9479644,9477813","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"10845414,10617097,10447381,10447465,10546510","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9044149,9035943,9144438,9036603,9146534","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"8144938,8734648,7616961,8545225,8144939","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"9707379,9707462,9707647,9707646,9707004","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9330038,9318440,9320971,9337330,9337323","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"10263460,10492727,10015353,10016175,10016830","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"10572246,10574267,10582010,10395925,9894438","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"9281681,9968015,9313208,9281685,9323319","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8303357,8364922,8138958,7938307,8364908","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"9110206,8724333,8724332,9110799,8711202","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8119025,7905565,8534148,7905609,7905606","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"8137203,7690938,8381495,8313640,8381497","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"7988539,8501944,8478035,8471051,8464625","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"7676217,8173822,8049274,8081991,8110739","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"8685778,7989633,8032690,8032689,8032688","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"8142232,8142229,8121491,8121493,8121494","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"8991061,8604138,8602768,8601687,9132492","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10188376,9654290,9654389,9654628,9791149","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"7612039,7805577,7676699,7670344,7640777","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"7937764,8116584,7938820,7936813,7841541","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"10634582,10654778,10641803,10641808,10645184","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"10201245,9554905,9543281,9520122,9532180","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"9248861,8829119,8829095,8829118,8838024","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"9533890,9747330,9324029,9114642,8951512","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"10569075,9824403,9824399,10140148,10140145","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"8935925,9113665,8932846,8929133,8796932","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"7663289,7663788,7673312,7931242,8138246","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"9171873,9307515,9452910,9455642,9458132","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9559643,9337098,9335327,9337385,9336635","None,None,None,None,None","None,None,None,None,None"
