APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8120246,8102994,8322625,8322627,7756325","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8890180,8541847,9123843,8732625,8721480","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10474273,10582606,10159909,10159261,10136598","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9890656,9565384,9421907,9695908,9928385","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10632608,10632358,10632313,10631295,10630731","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10537743,10536567,9787310,9650932,9206593","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8100298,7884497,8467802,8690240,7664619","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9743795,9965878,10241239,9411341,9544151","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10168518,10414798,9828299,9827718,10167694","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10133807,10696148,10560426,10049619,10619616","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10402550,10003929,10402548,9562020,9562023","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"8872957,9105742,9043035,9043043,9043032","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"10599746,9115018,9114846,8997778,8997736","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9493327,9843634,9843619,9843622,9843624","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10897684,9912431,10684552,10017652,10019329","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8082211,8251945,8442909,8442911,8447534","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8711423,8550801,8913107,8414034,8413975","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10427953,10434165,10435197,10576950,10593160","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7843094,7886194,8313990,8136204,8306346","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8111454,8151055,8111531,8306346,8313990","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8206410,8300801,8471785,8534366,8469583","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8038123,7629068,7677822,7911174,8396114","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10247724,10695960,10693851,10693848,10693844","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"9512284,9684606,9660552,10130485,9888974","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9994920,9354452,9782894,9782896,9782897","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10376779,9930703,10144440,10597055,10330584","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8526228,8339352,8258576,8258932,8521389","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"8335417,8529517,8909880,8335390,8335387","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"9320704,9067244,8846544,8846541,8846546","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9787310,9349458,9768763,9650932,9334717","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"8690060,9288168,9688698,9744926,9688010","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9769005,9987622,9535290,9562053,9768431","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"9989832,9979867,9627114,9636928,9637861","None,None,None,None,None","None,None,None,None,None"
