APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"7755519,7753567,7900938,7903201,8102973","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"9066226,8576608,8846664,9061818,9061807","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"7766783,7919369,8137529,8539620,8387978","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10650877,10641819,10430544,10430514,9264682","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10729390,9081590,9352415,9547631,9334851","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9475564,9188332,9686783,9682512,9682511","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10173403,10631901,10398180,10613211,10174448","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"10000630,9332194,9564665,9557797,9126605","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10458160,10646377,10458158,10647834,10647827","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10159261,10359841,10401934,10474273,10004281","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8829078,9052098,9052094,9067179,9053395","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"8310461,9069807,8310462,8902119,8902118","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9451946,9451958,9921219,9921222,9921223","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9830536,10075854,10075850,10067500,10067499","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10642790,10612117,10460470,9908046,9908053","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8638050,8081289,8081510,8081493,8081413","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10214461,9973203,10438803,9810824,10564169","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"8429436,7782686,7770832,7905270,8526319","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8304914,8511751,7932149,7936219,8114182","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8605628,9195127,8605657,8603715,8605291","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8644947,8330544,8456143,8729741,8329146","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"7852597,7847999,7852463,7853987,7855815","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10492030,10272387,10492022,10492024,10272393","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,7632118,7846929,7767720","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9353763,9782907,9782903,9186926,9186358","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10666320,10462792,10191939,10191938,10191937","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8319516,8146182,8723019,8014657,8013778","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10002340,10218147,10002338,10002339,10218145","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8975954,9705806,9137309,8975295,8975957","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9320071,9547030,10098064,10134972,10177830","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9060055,9061068,9062030,9061100,9062196","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"10747107,10649829,10614049,10478536,10479606","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8360576,8360159,8360572,8360574,8360575","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"8339951,8517546,8341640,8341989,8339608","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"8299469,8152818,8542864,8366716,8707492","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"8517546,8340712,8340606,8340905,8341988","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8717562,8526362,8514504,8516448,8514503","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10442446,9609755,10436906,10442652,10661380","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"9892558,9893507,10304132,10308059,10076786","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"7880012,8062132,7876949,7876948,7876947","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10037854,10037968,10031380,10037760,10901043","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"8915530,9129494,9129473,9129528,9129507","None,None,None,None,None","None,None,None,None,None"
