APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9843530,9657194,10083763,10335171,9174325","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"9309036,9309059,9062146,8852242,8906921","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8390349,8388796,8391285,8387978,8525399","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9145617,9507751,9145624,9276547,9697743","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10017961,9907503,10059105,10059131,10598623","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9696416,9325589,9329494,9329496,9329493","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7940064,7638021,8264290,7637904,7895738","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8857379,8655156,8810682,8669982,8601419","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10652522,10207814,10237192,10237190,10237189","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"8137255,7922626,7681140,9669041,9459899","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10450034,10035015,10229542,10247591,10247592","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9960295,10646144,10633149,10633134,10633119","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9451942,9665266,9675128,9675127,9675126","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10674485,10169186,9608547,9608546,10686851","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10183171,10602566,10626813,10626809,10626807","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8638051,8447534,8081465,8081370,8081493","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"9492574,9335390,9340238,9323471,9336940","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"8851498,9272297,8720663,8721317,8707932","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8119772,7686900,7883672,7743004,7920833","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9985892,10199755,10172921,10172922,10172923","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"10398242,10236905,10233273,10465110,10237063","None,None,None,None,None","None,None,None,None,None"
