APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8689156,8550129,8411660,8876775,9323560","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"10227742,10697998,9900191,10021663,9729825","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"7741894,7935280,8105554,7908879,8105515","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10489744,10840200,10480007,10489769,10493321","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"8537711,8333056,8901366,8193694,8884587","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10709636,10592780,8877409,8496733,8321487","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8467802,8690240,7664619,7919183,8100298","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9419761,9206455,8889895,9001897,9005813","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10684010,10459581,10288585,10288582,10459584","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9457435,9669041,9459899,9460502,9676314","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9562023,9390021,9205080,10250341,10250342","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"8634764,8447673,8446562,8435812,8446555","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8500695,8586274,8782555,8820835,8790694","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10712618,10712556,10711811,10711018,10711001","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10704366,10704276,10704390,10704389,10704387","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8004987,8020043,8004945,8018052,8009486","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10380051,10599932,10380050,9770051,9770050","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10215763,10552672,10369731,10378726,10400905","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"10577803,10357968,10583461,10583460,10583458","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"10168131,10357967,10583463,10583461,10583460","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8733202,8604913,10087002,9912346,10360448","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9098205,9277472,9481714,9697816,9567637","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9785838,9527049,9982474,9753164,9316562","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,10114539,10867877,10746896","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10436133,10604394,9186837,9354457,9354452","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10449317,10008512,10656300,10208683,7706420","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8718964,8166312,8856451,8892951,8319400","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10451808,10670199,10296363,8335390,8233772","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"9204993,9336367,9206106,9205554,9337516","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9905327,9869047,9471784,9559620,9491912","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10350001,10350448,10570917,10573170,8525399","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9049484,9069797,8902121,8902117,8876648","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"10626064,10408485,10622622,10622624,10622628","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"8013680,8015814,8015851,8015552,8015841","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"8208321,8306719,8477079,8317561,8208272","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"10426961,10618316,8825531,9245732,9022512","None,None,None,None,None","None,None,None,None,None"
