APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8962105,8959886,8961416,9121688,9103741","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"10697998,10227742,10021663,9900191,9930463","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10309098,10746327,10745889,10685294,10479044","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9565384,9695908,9421907,9928385,10430544","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10264921,10263317,10295857,10153972,10264100","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"8609905,9527192,9234352,9357674,9732638","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10544320,10130852,10130746,10130683,10570305","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9411341,9544151,10241239,9965878,9743795","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10675514,10700979,10700016,10700012,10700011","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10359841,10582606,10401934,10474273,10004281","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8514261,8468475,8469380,8469376,8469381","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"7896082,8637045,7925419,7925411,7925282","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9233266,8688806,8489149,8499062,8499063","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10147637,10633317,10633311,10633306,10633301","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8532647,8381416,8532646,8532645,8880857","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8654352,8638050,8638040,8638041,8082211","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7911780,7713461,7713485,7713526,7708608","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10641819,10430514,10430544,10650877,9204120","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7680230,7680243,7920814,7920822,9350371","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"7920822,7920814,7680243,7680230,7714319","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"10360448,9912346,10087002,8729741,8472537","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"7780406,7911174,7919963,7845606,7934479","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10246975,10020998,10246974,10020994,10246976","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8722121,8876643,9376394,9529618,9856802","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10003316,9564866,9564876,9562073,9868111","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9730345,9306750,9485316,9509333,9491692","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"10700142,10515879,9755187,9671464,9057622","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10451808,10670199,10296363,10645187,10053515","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8733760,8881247,8585146,8585340,9076633","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9491912,9687652,9657079,9559620,9471784","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9902444,9672451,9672420,9672421,9672423","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"10205060,10655524,9966987,10450885,9831543","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"7959639,8167926,8168383,8168382,8168381","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10663385,10274937,10273747,10480007,10489744","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"7805492,7922584,8269924,8268537,8310251","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"10655614,10489744,10275726,10274937,10273747","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8516453,8516451,8117745,8133871,8526368","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"9547441,9340202,9205998,9116944,8798404","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"9250815,9129908,8602859,8208272,8665491","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10217221,10226692,8469875,8324126,8133151","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10094515,10093953,10095572,10666871,10667123","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9748854,9137627,9336163,9102722,9103568","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8875343,8876086,8876120,7669349,8121566","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"9527795,9391453,9391486,9391489,9391441","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8063497,8089285,8089283,8071536,8071535","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"7858530,7864268,8103273,8103274,8103275","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8459070,8460323,8458449,8897162,8459125","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"10707213,10631646,10630593,10740364,10456314","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9044774,9246536,9246531,9247181,9247185","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"7918096,7918103,8309522,8120817,8127775","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10586094,10569619,10557171,10348223,10347760","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"8468478,8460022,8672568,8468476,8293186","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"8244145,8432009,8053582,8117777,8053547","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"10685290,10448536,10369394,10722847,10601679","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8187076,8880861,8380065,8475563,8475566","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8167738,8360531,8360508,8360507,8360505","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"10435214,10435216,10599216,10599210,10599207","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"7960441,7960423,7960759,7960758,7960757","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"9022512,8604915,8825531,9245732,8927672","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"9250815,9129908,8465819,7985068,7984404","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"7961470,8175547,7933566,8173862,8173863","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"8381147,8380616,8381149,8381151,8381150","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"8378999,8379003,8505500,8511705,8546411","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"8517782,10465147,10065446,10264956,10264955","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10153610,9360837,9528438,9527729,9533360","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"8109692,8277010,8444472,8433308,8471631","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"10523326,8726499,8401406,8831303,8725754","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"10002716,9320545,9535330,9540889,9534628","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"10559651,9841197,10201181,10180051,9841263","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"10304094,10692748,10692743,10687210,10687208","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"9747330,8951512,9114642,9324029,9533890","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"9036284,8774029,8772295,9275869,9275265","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"10432056,9791149,9654628,9654389,9654633","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"9900809,9459934,9689471,9689555,9690087","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"8891391,8912438,8737539,8737000,9093741","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9625958,10017368,10701246,10701247,10701248","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"10290852,10661785,10480940,10480947,10480949","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"9505998,9313947,9505994,9494707,9505993","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"8077877,8318246,7885185,7886453,8111997","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"8726317,8545730,8545116,8547016,8540379","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"9921561,9249552,9249549,9249554,9249545","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"9734121,9386094,9969453,10207716,9557534","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"9607558,10341097,10533648,9821169,9821172","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"8605657,9223715,8791700,8808770,8823639","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"8317544,9087856,9130492,8712343,8292196","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"8601916,9329760,9000077,8998907,9333604","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"10075862,9917261,10075866,10075865,10075864","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"10493321,10655614,10275726,10274937,10273747","None,None,None,None,None","None,None,None,None,None"
