APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9509503,9335971,9313927,9089463,9090775","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8732625,8536037,8925858,8890180,9123843","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9904637,10135069,10135071,9672466,10135072","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9695908,9928385,9421907,9565384,8996081","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10059131,9907503,10693345,10598623,10059105","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10784019,10760002,10759735,10759550,10783393","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"9570485,9443011,9759884,9644520,9948594","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9544151,9965878,9743795,9411341,10241239","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9974347,9357646,9938645,9536059,9536063","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9728586,10400036,9729176,9929600,9939529","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8688106,8730918,8494481,8501183,8502590","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9857598,10114279,9741953,10609100,10694208","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"10631693,10710201,10644944,9564209,9564185","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9619031,8977972,9236495,8978023,8977971","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9761834,9087467,9281685,9323319,9313207","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"7612658,7806452,8004952,8033151,8011168","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"9064144,8858611,8868082,9334847,9275954","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"7620971,7983774,7918111,7894564,7620978","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8688286,8122386,7739524,7740575,7740475","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8269071,8129631,8274641,8272615,8274643","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8849505,8472537,8210130,8929385,8664432","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9930703,10569629,10330584,10186749,10144440","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9870155,10020356,10693844,10693843,10021640","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"10651879,10496239,8876643,8722121,10005189","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9186361,9186930,9562069,9562048,9563255","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"8391285,8539620,8526391,8507814,8389240","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8856451,8702064,8166312,8173390,8526339","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10451808,10670199,10296363,8147534,8327331","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8621156,9076636,9145280,9076635,9145278","None,None,None,None,None","None,None,None,None,None"
