APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"7756325,7900897,8316179,8322625,8322627","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8536037,8793915,8732790,8336923,9338933","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8391430,8311964,8413786,8312849,8311950","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9565384,9695908,9421907,9928385,10087404","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"8530640,8535244,8698855,8693334,8535269","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10537743,10536567,10784019,10759550,10759735","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10526305,10708072,10517810,10526304,10517809","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9935976,9747383,9623982,8604913,8733202","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"8930195,9145794,9114674,9115048,9114136","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10392366,10617821,10617824,10617828,10617829","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10402548,10250341,9390020,9205191,9390021","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9741953,10114279,9857598,8436052,8686992","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8693015,8500523,8498701,8500548,8500823","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"7886893,7881459,7886890,7886888,7646419","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9720733,9959331,10124292,10124290,10642790","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8448209,8081491,8081289,8081465,8081510","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10578526,10710052,10578616,10578579,10578468","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9353347,9204120,9200118,9203505,9203373","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7683038,7672271,7673736,7617895,10127964","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"10219080,9640405,10326787,10449341,10451579","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8644947,8456143,8330544,8644944,8486383","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"10256617,10194496,10137942,9930827,9930759","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10006889,10686120,10686278,10473768,10250326","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"10707115,10519083,10708203,10708201,10707105","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9354477,9763620,9353793,9354450,9353790","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10599210,10435038,10599216,10599207,10589821","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8721302,8529445,8896383,8851475,8901888","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10451808,10296363,10670199,9995019,10003224","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8881251,8734464,9076637,9145278,9076635","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"8975055,9126612,9390663,9389941,9583993","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10176493,10646279,10430118,10430120,10015282","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8215179,8546349,8215127,8215129,8215130","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"9689710,10225491,10456284,10462502,10471187","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9927973,9597601,10413034,10165449,9753104","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10584495,10472519,10227320,10235566,10375585","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9547741,9526980,9369141,9365471,9369086","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8705846,9038249,9263887,8843779,8500194","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10468871,9716798,10247044,10183351,10842106","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8843779,9263887,9038249,8705846,8870288","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10226692,10217221,8532854,8149926,8014602","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"9927978,9732984,9738842,9738622,9738587","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9546412,9551345,9748857,9748858,9748859","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"10749781,10749846,10749845,10749843,10749788","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"7681249,7774842,7674033,8319318,8728987","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"10203746,10539278,10534661,10451560,10113817","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9571050,9928307,9913390,9913391,9926729","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9320132,9114399,9108040,8897169,8897166","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"10740364,10630593,10631646,10707213,7648226","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"8913586,9669066,9247185,9044778,9044776","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"10459225,9849075,10016246,10559603,8934169","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10348223,10343347,10586094,10569619,10557171","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9246394,9280767,9265748,9246411,9318406","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"8432009,8244145,10105506,10107447,10107085","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"8656771,9061793,8656787,8656797,8656801","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8326736,8532645,8532647,8475566,8475563","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8360574,8359776,8359672,8359674,8139872","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"9897620,10149230,10115583,10115584,10131105","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8490516,8490519,8473969,8490522,8473932","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"10688025,10407447,10438565,10459384,10460169","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"9263887,9038249,8705846,8843779,8408897","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8268769,8261883,8132214,8365066,8365067","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"7796669,7869255,7917330,8136500,8044806","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"9494599,9166440,9535412,9491847,9753277","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"8127920,7940147,8090463,8529834,8282632","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"8369767,8367889,10259700,10044272,10260535","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"7781398,7617668,7848280,7848268,7809636","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"7662434,7678381,7666099,7892952,7741425","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"9119327,9118611,10426184,10424460,10641808","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"10354273,10690459,10693052,10693053,10693054","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"10266123,10266124,10677987,10683504,10092367","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"8951512,9533890,9747330,9324029,9114642","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"8392147,8074191,8518071,8149895,8149882","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"9787307,10188376,10450087,10450686,9932295","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"7667758,7938434,7683100,7683733,7880319","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"9131455,9143363,8670377,8668569,8904327","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9347270,9560704,9337096,9368956,9337097","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"10289786,10690619,10480955,10480956,10480957","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"7911439,7869504,7661662,7929888,7929889","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"9120568,9517828,9428504,9120641,9120622","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"8904623,9249190,9335075,8325002,8547029","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"9655324,8799363,9756578,9774047,9440573","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"8913705,9143830,8738707,8737743,9139742","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"8635404,8636843,8636552,8636647,8636661","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"8021062,8149989,8149991,8020738,8150476","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"7687347,7759104,7687500,8143810,7902079","None,None,None,None,None","None,None,None,None,None"
