APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9784662,9674261,8550129,8689156,8411660","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8723286,8576073,8723291,8723285,8723293","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9707686,9353269,9205914,9967926,9519819","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9928385,9421907,9695908,9565384,10510294","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9674261,9784662,9857598,10114279,9741953","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9494700,9812311,9706654,9319816,9177874","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"9870748,10551268,10335848,10349434,10359051","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9333907,9553847,9767599,9692273,9334534","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"8706639,8875676,8709709,8709742,8856231","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9247181,9044778,8913586,8913347,9459899","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10461730,10461771,10114823,10116143,10166844","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9353278,9248089,9349629,9565384,9695908","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"10492007,10419022,10266163,9204978,10142033","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9994836,9670338,10234127,10248323,9785374","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9926797,9156542,9346002,9691088,9546463","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8878311,8371836,8503616,9096672,8703731","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8792750,9072264,9320330,9529679,9491864","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10007190,10050801,10051557,10148796,10200875","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"9928385,9565384,9421907,9695908,9264681","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8452056,8636993,9036318,8646873,8639457","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"10159980,9990853,9853327,10087002,9912346","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"10372447,10491848,10670680,8635404,8636661","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9693326,9693328,9318596,9308005,9293384","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"10617940,9906987,9901099,10485406,10267729","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"8211908,8211904,8337274,8211903,8481565","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"8790574,8915899,9204520,9128039,9452743","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"10447898,10599976,8739904,10509989,10287089","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"8997188,8997390,9319794,9565173,9323560","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8339420,8533051,9319822,9291514,8526587","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9319995,9487321,9905327,9547030,9869047","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"8636647,8636843,8635404,8636661,8636552","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"10015256,9321236,9535290,9562053,9987622","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"9955301,10178077,9454132,9736785,9564694","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"8339365,8339892,8735667,8728040,8255223","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10708152,10605763,10606115,10749018,10440817","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"8680060,9087039,8675008,8862197,8472259","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9110960,9707782,9751079,9432431,9434989","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"9547441,9340202,9205998,9625166,9287024","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8509163,9213339,9000120,8617223,8794412","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10569668,10358069,10358379,10548819,8723288","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10645467,10645719,10645964,10645746,10708816","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9932566,9933147,9929063,9929365,9930378","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9454567,9031759,9275470,9697804,8897762","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8609587,8813612,8787481,9064911,8237072","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9767656,9486473,10219080,10087865,10087862","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"10419022,10492007,8772295,8773274,8890200","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9759658,9561895,9539149,9987322,9293815","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"9323220,9001630,9932272,9001587,9699998","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"10529887,10666636,9922256,9319420,9648120","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"9975609,9975573,9526215,9524950,9113610","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"8811913,9040873,9067907,9024436,9024434","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9433593,8851500,8867993,9471780,9269130","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"9583993,9390663,9389941,9395642,9559675","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"9928385,9421907,9565384,9695908,9264682","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"9087467,9523138,9761851,9761852,9761853","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"9678234,9789925,10249959,9985110,10455604","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"8821571,9036318,9045543,8646873,8822806","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"9966931,9590338,9747840,9814544,9813609","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"10438910,10071598,10213963,10221177,10636807","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8617223,8794412,9213339,8509163,9000120","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8848088,8919411,8574287,8574280,9058116","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"9011718,9011926,9675060,10404609,10405083","None,None,None,None,None","None,None,None,None,None"
