APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8997188,8997390,9319794,9565173,9323560","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"9934219,9787181,10405099,10418618,9930463","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10746327,10479044,10532594,10685294,10693955","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9565384,9928385,9695908,9421907,10616595","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10127119,10264960,10456128,10704049,10114279","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10598724,10599396,10599385,10598873,10598312","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8467802,8690240,7664619,7919183,8100298","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"10637036,9667824,9667823,10092091,10549737","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10265497,10242079,10242883,10242882,10242881","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10004300,10582606,10401934,10378135,10359841","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9172098,9325392,9320975,9321100,9330040","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"8921974,8546373,8215127,8215129,8215130","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9483500,9483499,9485644,9484910,9482279","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10147637,10429957,9882795,9882794,9882702","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10680554,9413806,9413620,9413676,9413621","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8011168,7608737,7876956,7806393,7884581","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7713208,7941949,7941943,8133221,7941948","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10491098,10690756,10474478,10318876,10318757","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"10334562,10596201,10335276,10358642,9851345","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8638892,8451885,8452056,8283753,8281798","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8813609,8551682,8607976,9010966,8431983","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8884733,7692977,8311845,8546648,8311848","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9627727,9627276,10441646,9627418,9627577","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,10770832,10770711,10271986","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"8926397,8436395,8545842,9136088,8734406","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9900738,9098149,9246424,9361621,9252098","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8518215,8532795,8370150,8368840,8367812","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10451808,10296363,10670199,10051363,10053515","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8473899,8129826,8543511,8543513,8473898","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9319995,9487321,10134972,10177830,9905327","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10416034,10660990,10173772,10173776,10173777","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8715797,8911299,8261637,8261836,8535751","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"9989832,10227178,10159887,10457348,10469691","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"8367812,8368840,8532795,8529444,8518213","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10743669,10744678,10744578,10477046,9841250","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"8565628,8725571,8724343,8565991,8566312","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8382277,8042887,8516450,8516454,8381801","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"8729571,9115721,8640299,8639766,9120848","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"9081471,8895833,8820238,9433510,9420513","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10368045,10085913,10381455,10437588,10433822","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"9787107,9936112,9654946,10458695,10087183","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9103568,9098341,9102722,9100305,9546412","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"10747205,10225131,10618169,10618172,10631896","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"9476791,9124887,8867550,8867004,9478201","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9363390,9926211,9363104,9696739,9700443","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9967114,9824399,9824403,9826883,9826884","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9478513,9476552,9478480,9476389,9478515","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"10707213,10630593,10631646,10740364,10058037","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"8913347,9669066,8912671,8913586,9459899","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"8144938,7943167,8734648,8545224,8545225","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10343347,10347760,10348223,10557171,10569619","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"7939073,7903243,7892459,7892458,7892457","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"8722290,8828160,8722152,8722068,8719655","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"7672856,7674199,7678306,7678335,7677802","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8379536,8044802,8044800,8044801,8098870","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8360499,7959743,7959647,7959648,7959649","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"9036318,8636993,8646873,9045543,9034526","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8463613,8520392,8322733,8300202,7796875","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"10466580,10572302,10619007,9245732,9022512","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8305995,8287581,7986397,8492022,8583061","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8062806,7961519,7961513,7961514,7878914","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"7848533,8044806,7582243,7917330,7869255","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"8534170,8534171,8053125,7900021,8130759","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"8517782,8813609,9211357,8431983,9010966","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10412111,10456803,10043941,10044094,10260535","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"10238908,9966863,10238907,10238910,10238911","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"9114794,10876118,10103918,10188928,10188803","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"9540887,8965639,8963191,8965394,8965636","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"9301098,8097850,8097846,8097845,8097844","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"10657603,10017864,10670236,10668370,10657606","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"9900067,9943057,9963360,10570853,10580703","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"10706418,10597853,10706421,10708919,10597362","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"10016163,9823404,9896487,9897091,9985200","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"7692302,7911680,7911689,7935572,7692303","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"9446622,9444899,10038085,10038084,10005184","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9335327,9336574,9336634,9347271,9337386","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"9542777,9354433,9353790,9354450,9353793","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"8132827,7924099,8132845,8132846,8132847","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"10226692,9670338,9788253,10018668,10229493","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"8540379,8540378,8547003,8545730,8545100","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"9783372,9783397,10679006,8391026,7840740","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"8391950,8919722,8530163,9119535,8784175","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"8464318,8864801,8466673,8733653,8463772","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"8791700,8802881,8788949,8823639,9529663","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"8282735,8260815,7779416,8265871,8590939","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"9544766,8793021,8793023,8793022,8793019","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"9339526,10003119,9997766,9206567,9205284","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"8532795,8529444,8368840,8367812,8370230","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"7640777,7900589,7676699,7612039,7661516","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"9551104,9196042,9196041,9194006,9196043","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"8717558,8043231,8721322,8717563,8721325","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"9063076,9773310,8927223,8927908,8927806","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"9062196,9062195,9062194,9062179,9061099","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"9274154,9674383,9462040,9459829,9116592","None,None,None,None,None","None,None,None,None,None"
8318381,m,w,"9983137,9297422,9718273,9553858,8604915","None,None,None,None,None","None,None,None,None,None"
9071539,m,w,"9052201,9307934,9072264,8792750,9535440","None,None,None,None,None","None,None,None,None,None"
8120588,m,w,"9757795,8990689,9563295,9323489,9105753","None,None,None,None,None","None,None,None,None,None"
9548127,m,w,"8916416,8382145,8338916,8380415,8379372","None,None,None,None,None","None,None,None,None,None"
7858033,m,w,"7677825,8054108,7676034,7674783,7676082","None,None,None,None,None","None,None,None,None,None"
7691735,f,w,"8114116,7612596,8316405,8288249,8294796","None,None,None,None,None","None,None,None,None,None"
8789173,m,h,"8090493,7845679,7623835,7840542,7840543","None,None,None,None,None","None,None,None,None,None"
9527152,m,a,"8583621,8691778,8723828,8721417,9036982","None,None,None,None,None","None,None,None,None,None"
10217030,f,w,"9935976,9747383,9623982,10360448,10087002","None,None,None,None,None","None,None,None,None,None"
10104482,m,a,"9081471,9420513,8705776,9003024,9024447","None,None,None,None,None","None,None,None,None,None"
8787984,m,w,"8909040,9323276,8726595,8909044,8726592","None,None,None,None,None","None,None,None,None,None"
7921782,f,b,"10683413,10683125,10258046,10216546,10216519","None,None,None,None,None","None,None,None,None,None"
9222148,f,w,"10274206,10463711,10684249,10269806,10459715","None,None,None,None,None","None,None,None,None,None"
