APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"10335171,9843530,10083763,9657194,10592699","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"9123843,8531341,8732625,8721480,8793915","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8765093,8769839,8770165,8768673,8769410","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9264682,9264670,9264681,9264661,8851498","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10708816,10706514,10518967,10519808,9627114","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10536567,10537743,10598724,10597790,10598312","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8382209,7935235,8727716,7911713,7911712","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8819920,8816766,9613771,9220717,9221246","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10057082,10647827,10458402,10458158,10458160","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7991380,7992457,8197900,8197474,8197875","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9739064,9734842,9891933,9899912,9902298","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9741953,9857598,10114279,8044994,8043877","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9896673,9260051,9356869,9260053,9260055","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10711018,10712618,10711811,10711001,10712556","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8158771,8475561,8695290,8681149,8681153","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"9076729,9078445,9234570,9244044,9229560","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"9743642,9548717,8240260,8240780,8240639","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10263239,10045725,10441514,9688165,9321557","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7871479,7579128,7809636,7848268,7848280","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"10394474,10393791,10393982,10394455,10392181","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"10744578,10743669,10744678,10087002,9912346","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8749196,8758248,8815813,8815574,8814095","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10247725,10247724,10247727,10477068,10020355","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8722121,8876643,10577781,10573252,10360587","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9868112,9562055,9354433,9344609,9352830","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"8954698,8951636,9517695,9518519,9724339","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8518213,8529444,8370150,8368840,8532795","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"9774041,9590189,10003224,10004030,9774045","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8330845,7938904,8128561,8141268,8126361","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"7677938,7677927,7835638,7812163,7586196","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"8118293,7900932,8462328,8462330,8462331","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9321236,9535290,9562053,9769005,9768431","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8921689,8598768,9689558,10225491,10471187","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9597601,9753104,10165449,9927973,10413034","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"9767671,9751398,9606201,9606262,9607667","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9753104,10165449,9597601,10413034,9927973","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9117861,9116592,9462040,9459829,9683777","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"9313725,9303447,9310142,9036886,9037282","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"10381480,10381475,10625290,10625286,10625281","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"8707400,8014602,8307505,8532854,8699693","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"8605381,9065464,9291406,8847623,9654946","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9932566,9933294,9933326,9928721,9929063","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9699483,9521980,9925076,9963220,9975854","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"9696381,9482420,9313495,9882671,9882611","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9133267,9654668,9637234,9637226,9223660","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9743004,9969098,9570701,9570698,9932826","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9478405,9478480,9476389,9478513,9476640","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"9627675,9787402,9787404,9787405,9787406","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"8622101,9257413,9259978,9469491,9469504","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"10855076,10701030,10573727,10573677,10571074","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10569619,10557171,10348223,10347760,10343347","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"10512948,10703453,10500864,10681283,8367889","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"8792844,8828160,8845185,8828159,8722290","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"7899346,7912360,9459450,9459535,7921522","None,None,None,None,None","None,None,None,None,None"
