APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9657194,10335171,9843530,10083763,10696203","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8793915,8541847,9123843,8890180,8925858","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9292356,8822523,9059157,8927672,7768334","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"8572720,8720662,9264670,9264682,9264661","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"8693334,9109755,8892168,8893071,8897362","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10537743,10536567,10759735,10759550,10760002","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10544320,10130683,10130852,10322155,10360627","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9333488,9911989,9459404,9767599,9692273","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10051557,10050801,10007190,10137988,10200875","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9937807,10219250,9566197,9557490,9552850","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10402548,10250343,9548545,9548544,9562025","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9741953,10114279,9857598,8251834,8251714","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9406051,9254607,9728735,9707610,9637251","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9786663,10093985,10442642,10470008,10470009","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8098867,8459887,7685842,7685846,7685849","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"9076666,9078413,9234569,9240651,9240653","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"9529679,9249624,9330894,9303419,9491864","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10125837,10574601,10551296,10543729,10186853","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8541971,8246757,8380571,7644619,7644627","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9141899,9321200,9330918,9313906,9339716","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8456143,8330544,8644947,8329146,8486383","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9113017,8990840,8605677,8605752,8606033","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10695960,10020355,10472052,10472053,10472054","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,10372955,9512284,9684606","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10588840,10585204,10588654,10588534,10583245","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9768496,9383531,9385249,9384963,9766828","None,None,None,None,None","None,None,None,None,None"
