APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"10335171,9843530,10083763,9657194,7651101","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8247968,8732625,8531341,8793915,8732790","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9677083,10140352,9942444,9942445,9942446","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9890656,10263239,10045725,10441514,8996081","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9459450,9459535,9637861,9979867,9627114","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10537743,10536567,9860426,9976825,9828246","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8065747,7695547,7692251,10676852,10676858","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9965878,10241239,9411341,9743795,9544151","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"7904295,7884362,7877933,7882597,7939165","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7551983,7991380,8197472,8197873,8197878","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8849693,8849787,10003929,9562020,9562023","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"8971447,8974925,8435054,8429592,8022872","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8392147,8073856,8075931,8074269,8149893","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10674496,9608131,10093975,10077271,10686858","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10642789,10183172,10626813,10642790,9720188","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"9665510,9244044,9445480,9240654,9240652","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10599925,9770051,9770049,10599932,10599929","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10329935,10624283,10887735,10086379,10092088","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"10667181,10308532,10127964,10308509,10130308","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"10130308,10356122,10130323,10308509,10308532","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"9198167,8432558,8432693,8990810,8432715","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8826120,8606066,8791686,8889677,9113017","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10021640,10247725,10695963,10477059,10695955","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"9512284,9684606,9660552,10130485,9888974","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9186924,9354442,9562048,9563255,9563261","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9785189,9401783,9966552,9785709,9785710","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9753104,9597601,10165449,9927973,10413034","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10451808,10670199,10296363,9124647,9124646","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8661472,8380615,8128557,8128556,8128555","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"8400641,8720744,8720745,8550036,8542814","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9069853,9320030,9297107,9292158,9292054","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9899045,10207612,10700788,10018850,8977657","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"10581922,10708941,7678500,8054108,7676082","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10273747,10493321,10277070,10275726,10480007","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"7666926,7638607,7922582,7906619,7914292","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"8725571,8724343,8565991,8566312,8565628","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9462040,9117672,9459829,9683777,9266296","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"8935925,8931088,9276134,9295911,9293372","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"9748426,10423663,9975693,10458119,9609262","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10907051,10907055,10375628,10376395,10376470","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10037760,10037968,10031380,10037854,9932272","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"8914413,8914431,9129520,9129624,9129526","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9044624,9338254,9149286,8450007,8380748","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8703156,8727829,8624982,8236680,8468721","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8731176,9221952,8510985,8511238,8510982","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9431063,9257685,9188572,9617156,9484910","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8517279,8699659,8699644,8699520,8699661","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"7922739,7692914,7900611,7900610,7900609","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"10641509,10455670,10626766,10670109,10673074","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"10058981,10685989,10685971,10059768,10059767","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10586094,10569619,10557171,10348223,10347760","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"8690710,8174017,8295034,8174067,8295020","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"7847033,7687908,7686943,7847368,7687907","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"8722021,8748760,8911359,8914664,8904715","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8158771,8380065,8479319,8475561,8532644","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"7935205,7943002,7943004,7782591,7779493","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"10597150,9915895,9915897,9915899,9915900","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"9204993,9336368,9205858,9205852,9205554","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"9245732,8825531,8604915,9022512,9081240","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8843779,9263887,9038249,8705846,9116592","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8173840,7881109,7900119,7900118,7896944","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"7912418,7796669,7869255,7917330,8136500","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"8985298,8985156,9507884,9513573,9970587","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"8433768,8554310,8879486,8554311,8646447","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"9654290,10188376,10450686,9928881,9932295","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"9640405,10087862,10228691,10326785,10326787","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"9160837,9391012,9604713,9390991,10528460","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"8469037,8376366,8213846,8239666,8239672","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"8649398,9542426,9247939,9256466,9247940","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"10512948,10703453,10355540,10560505,10166116","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"10219354,9959042,10683293,10514944,8064424","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"9193521,9720712,9198843,8996860,8996965","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"8179336,8179569,8179494,8277886,8274637","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"9340239,9494599,9166727,9166440,9163857","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"9004613,9221293,8809724,8079819,8504815","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9336090,9355575,9567935,9567510,9567936","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"10289789,10661792,10480949,10480955,10480956","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"10685497,10489500,10698165,10487879,10488817","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"7918060,8082702,7758387,7758388,7755120","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"7692251,8065747,7695547,8710089,8549997","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"7627364,7849692,7627362,8144567,8072944","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"9608808,9784887,10217224,9966005,9557534","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"10692678,10512719,7932428,7928795,7681554","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"8603715,9195127,9022494,8990861,8605628","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"8380343,9330326,9087856,9130493,9130492","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"7924910,7919509,8127697,7881980,7694378","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"7652453,7681785,7888746,8137313,8094480","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"8725571,8724343,8565991,8566312,8565628","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"8071058,8065463,8061597,8061598,7808770","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"10505802,10642544,8360354,8360589,8360466","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"9391174,8782592,8554494,9828646,8975583","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"10738193,10738215,9036982,8582263,8691778","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"10200815,10016316,10009357,10200816,10453433","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"9116592,9117672,9117861,9274154,9266296","None,None,None,None,None","None,None,None,None,None"
8318381,m,w,"10130607,9318552,9075250,9076927,9075135","None,None,None,None,None","None,None,None,None,None"
9071539,m,w,"8757958,8754188,8743804,8748503,8754755","None,None,None,None,None","None,None,None,None,None"
8120588,m,w,"9931248,9283606,9081623,8889727,8901254","None,None,None,None,None","None,None,None,None,None"
9548127,m,w,"8601727,8383446,8262238,8280877,8264852","None,None,None,None,None","None,None,None,None,None"
7858033,m,w,"8551666,8402798,8402797,8402736,8402385","None,None,None,None,None","None,None,None,None,None"
7691735,f,w,"8433794,8551400,8434963,8433290,8434398","None,None,None,None,None","None,None,None,None,None"
8789173,m,h,"10597362,10597853,10597899,10706418,10706421","None,None,None,None,None","None,None,None,None,None"
9527152,m,a,"10000361,9284475,8913969,8925885,8910705","None,None,None,None,None","None,None,None,None,None"
10217030,f,w,"10475677,10091568,10680594,10684692,10213689","None,None,None,None,None","None,None,None,None,None"
10104482,m,a,"9110960,9624358,9248352,9237256,9324725","None,None,None,None,None","None,None,None,None,None"
8787984,m,w,"9655174,9108861,9323279,9323276,9323280","None,None,None,None,None","None,None,None,None,None"
7921782,f,b,"7903215,7687483,7902079,7902077,7900503","None,None,None,None,None","None,None,None,None,None"
9222148,f,w,"8011394,8274673,8514144,8691043,8462270","None,None,None,None,None","None,None,None,None,None"
9674467,m,w,"8514610,8335408,8335406,8229227,8229848","None,None,None,None,None","None,None,None,None,None"
9273611,m,w,"8551731,8733509,8821583,8413360,8413274","None,None,None,None,None","None,None,None,None,None"
10480740,m,w,"8585992,9314608,8589069,8588615,8588686","None,None,None,None,None","None,None,None,None,None"
10361543,f,h,"9070601,9071411,9132224,9071406,9071409","None,None,None,None,None","None,None,None,None,None"
10241405,m,w,"10220543,10573197,10364686,10371167,10397167","None,None,None,None,None","None,None,None,None,None"
8300031,f,w,"10672805,10021394,9912481,9912493,9912525","None,None,None,None,None","None,None,None,None,None"
9339325,f,h,"10091112,10213065,9344536,9274534,10828192","None,None,None,None,None","None,None,None,None,None"
8814164,m,w,"10371167,10220588,10220543,10220313,10218993","None,None,None,None,None","None,None,None,None,None"
7924122,f,w,"10619595,10444669,10610447,10620361,10442808","None,None,None,None,None","None,None,None,None,None"
9672444,f,h,"7618050,7787766,7787771,7617794,7617795","None,None,None,None,None","None,None,None,None,None"
8672569,m,w,"10415065,10624969,10204491,9054749,9480671","None,None,None,None,None","None,None,None,None,None"
9688831,f,w,"9525956,8776080,8775966,9120853,9120858","None,None,None,None,None","None,None,None,None,None"
10374944,m,w,"10406903,10162327,9692772,9692771,9692769","None,None,None,None,None","None,None,None,None,None"
10208856,m,h,"9001772,9001699,9975804,10233822,9644827","None,None,None,None,None","None,None,None,None,None"
10197904,m,a,"8677935,9526799,9282289,9281827,8514199","None,None,None,None,None","None,None,None,None,None"
8520046,m,w,"10747205,10457696,10620259,10457694,10457695","None,None,None,None,None","None,None,None,None,None"
9332366,f,w,"10694891,10018857,10694308,9827755,9827678","None,None,None,None,None","None,None,None,None,None"
8920545,m,w,"10470742,10234155,9994979,9994996,9995460","None,None,None,None,None","None,None,None,None,None"
10013563,m,w,"9900284,9900287,10020476,10019013,10018973","None,None,None,None,None","None,None,None,None,None"
7778742,m,w,"8114133,7878517,7938366,8216662,8099486","None,None,None,None,None","None,None,None,None,None"
8849042,m,w,"9739126,9732984,9902303,9899185,9897520","None,None,None,None,None","None,None,None,None,None"
