APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9174325,9172674,8962105,8959886,9121688","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"10254043,10379416,10255074,10254958,10254784","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10549810,9782222,9948736,10015716,10221774","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9695908,9565384,9421907,9928385,9506629","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"7664402,7896041,8065303,7985254,7907809","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10759735,10759550,10760002,10784019,10783393","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8467802,7664619,8690240,7884497,7919183","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9435087,9096393,9252099,9096394,9096395","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10197918,9589557,9589556,9589558,9766298","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9486451,9904630,9485695,9486301,9486454","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8554393,8554931,8806614,8800580,8473040","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"10228685,10018031,10017180,9831921,9832007","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"10256798,10254418,10636807,10221177,10213963","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"7939058,8153648,7900507,7924597,8536992","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9658441,10197344,9526088,9524992,9540512","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"9234572,9445476,9251863,9234570,9901626","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7941948,7941949,8133221,7713292,7713471","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10487536,10570166,9569528,9568890,9568229","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"10203525,10775907,10776793,10776871,10777065","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8513255,8884530,8880109,8887287,8876550","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8849505,8320113,8472537,8210130,8929385","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8856283,8702454,7882658,7687367,7684744","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10709379,10709378,10740079,10633383,10743501","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8722121,8876643,10645584,10743051,9031566","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10581922,10708941,7678500,7677825,7676034","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"7770832,8013807,7643067,7637487,7639127","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"10449365,9925783,10163762,9737783,9580260","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10296363,10451808,10670199,8233840,8909880","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"7673872,8432110,8664185,7582243,7640704","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9487321,9319995,8877436,8281251,8451833","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"8691778,8829218,8854085,8857464,8851592","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9562053,9535290,9769005,9768431,9321236","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"7678500,7677825,7676034,7674783,7676082","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9976424,10434053,9589792,9588957,9588943","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"8454664,7623192,10588501,10590541,10588517","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"8796508,8799700,8929143,8929132,8929128","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8707957,8662692,8681345,8501362,8478040","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10183351,9979986,10247044,9787584,9716798","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8147831,8070168,8147820,8070092,8150970","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"9358335,9194247,8786631,9145187,9787466","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10665204,9697257,9692621,9692623,9697242","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"8730492,8730490,8539729,8536637,8539730","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"10739361,9524848,9402296,8339413,8496656","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8554392,8723047,8703829,8712212,8692035","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9931155,9821890,9824342,9823754,9823598","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"10555411,10556722,10556976,10556975,10556974","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8282588,8326509,8473069,8282267,8326513","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"7807182,7538900,7690330,7677395,7923478","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"10533758,10307482,10532212,10533765,10533771","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"9333565,7988844,8780626,8893067,8015124","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"8472812,8412134,8658198,8472824,8473995","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9936112,9654946,9787107,10295439,10479175","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"8882380,9491987,9098668,8688981,8688982","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"8843932,8391969,8532975,8532973,8464232","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8187074,8532644,8380605,8381420,8381418","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"10721208,10718170,9496938,9753568,10229378","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"8303360,8697003,8099494,8685877,7985828","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8365239,8490522,8365248,8365249,8365250","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"10426961,10618316,8825531,9245732,9022512","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8833304,8925911,8135095,8515761,8450641","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8365005,8364985,8250052,8250054,8319724","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"10727983,10726239,10724152,10724796,10724896","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"10234127,9785374,9788253,9788264,9788271","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"8990810,8787447,8432653,8432558,8432693","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"9085186,8580451,9069718,8720663,8580477","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"9091400,8890100,8391506,8391397,8391505","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"7622684,7907725,7792256,7588757,8055876","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"8540154,8733687,8733692,8733693,7993334","None,None,None,None,None","None,None,None,None,None"
