APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"10282282,10615866,10088109,10688160,10677677","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"10480792,10693795,10308198,9650602,9855012","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10584259,10583849,10583235,10583024,10582012","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10380875,10208164,10380873,10394326,10433951","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10598623,10059105,10017961,10693345,10216255","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9114886,8821370,9315628,9315629,9532293","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8721882,8547684,8655833,8722504,8723136","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"7944114,8128545,8129648,8842345,7783230","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9804382,9802533,10248359,10248360,10248361","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7741685,7991864,7551999,7547058,7551996","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8677354,9248862,9248853,9248859,9248864","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"10407839,10408484,10407865,10407866,10407867","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9146147,9896669,9691056,9691055,9675130","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9604722,10075855,10064089,10064090,10064091","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9720733,10124293,10124290,10642790,10642789","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"9078754,9078445,9251863,9234570,9244044","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10664966,10684380,10011969,10010238,10008920","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9059010,8720663,8853239,8878151,9282395","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8494063,7739524,8304914,8305556,8322023","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9719857,10231192,9381398,9382509,9381663","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8329146,8486383,8644944,8990345,9751349","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9991867,9743854,9747940,9747920,9747314","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10733236,10733193,10733232,10732948,10732949","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,10352461,10211467,10630286","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"8336868,9306978,8382323,8382569,8915682","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10370727,9894711,9897489,9897488,9894727","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"10413034,9927973,10165449,9753104,9597601","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"9539648,9728937,9772793,9539645,9983377","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"9320708,8736363,8736371,8735212,8736372","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9319995,9487321,10134972,9471784,9559620","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9145681,9331634,9341297,9323407,9323406","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8926974,8261836,8911299,8728845,8715796","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"7959910,8360477,7959571,7959570,7959569","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10883873,9981603,10680480,9811610,9812148","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10375377,10167671,10088472,10075982,10066310","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"10291071,10832913,10688232,10683859,10834465","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9323176,9323177,9322138,9323804,9332147","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10446346,10446697,10447235,10524286,10524319","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8848098,9492681,9513619,9523144,9283606","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"7938846,8112693,8112621,8112503,8112504","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10263907,10259828,9971086,9970999,10433227","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"8460212,8528512,9114409,9114408,9313381","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9615441,10132459,10167776,10167775,10167774","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8843352,9298558,8842928,8843776,8842090","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9240573,9656931,9668995,9668996,9869164","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"10240292,9450003,9728736,9447472,9449959","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9116621,9242799,8897161,8898568,9113735","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"10683379,10501614,10704549,10472643,10479994","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9035943,9313495,9482420,9696381,9044149","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"8330246,7616961,8150047,7938718,8144938","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10343347,10347760,10348223,10557171,10569619","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9055268,9514733,9514726,9514736,9514752","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"9876499,9882011,10512708,10659220,9893665","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"10572246,10574267,10582010,10108145,10647847","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8154082,8326736,8894408,8915481,8915477","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"7959570,7959571,7630532,7892164,8360480","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"10612456,10598580,10619631,10435287,10434979","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8509016,8381662,8380045,8380044,8380047","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"8146167,8016853,8653603,8319431,9606614","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8103940,8305995,8478035,8489257,8513900","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8060582,7961500,7878899,7878905,7878910","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"8032667,8032751,8377951,8288142,8377949","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"8933663,9351521,9351542,9351548,9351551","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"7992015,8478316,8699733,8688209,8699734","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10583428,10583437,10583982,10581838,10581946","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"10625686,10625578,10625174,10625176,10625177","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"10600826,9962002,9961888,9960920,9954924","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"9320926,8959871,8965766,8962819,8963192","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"10145680,9256996,10179380,10179381,10179382","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"8829085,9251140,9259898,9248862,9261451","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"8502314,8127852,8298979,8501646,8698446","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"7858060,7886548,8077441,8078098,8075544","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"9348873,9346982,9351144,9350668,9350820","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"9536900,9382191,9382500,9382232,9381393","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"10487531,10492637,10690696,10700076,10330219","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9565524,9347270,9337386,9347271,9336634","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"8447838,8977657,10290853,10661790,10480947","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"8134002,7925708,7925705,7925703,7925702","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"10702222,10702230,10702214,10702117,10702050","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"7690731,7935240,7929598,7929599,7929602","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"9258542,9942437,9922941,9922942,9942429","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"8784175,8919722,8391950,8530163,8914169","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"8699240,8121714,8500414,8921073,8313630","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"7691833,7696682,7915505,8118220,8330383","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"8492009,8380343,8130719,8111877,8009669","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"9124623,8793022,9124626,9124628,8793023","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"10534685,10075865,10534683,10534684,10310692","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"10480007,10489744,10493321,10655614,10662502","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"8913755,8540335,8381260,8381782,8381781","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"9849380,9849925,9849922,9849375,9849376","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"9750630,9323620,9323621,9322141,9332148","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"8758156,8910704,8758202,8757453,9068107","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"8838801,8664383,8664391,8670744,8664390","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"9889884,10465271,9751599,9952554,8730229","None,None,None,None,None","None,None,None,None,None"
8318381,m,w,"8660719,8651530,9041666,9042419,8843054","None,None,None,None,None","None,None,None,None,None"
9071539,m,w,"10151616,9774196,10172921,10170435,10167724","None,None,None,None,None","None,None,None,None,None"
8120588,m,w,"8700428,8712608,8120588,8137234,8322255","None,None,None,None,None","None,None,None,None,None"
9548127,m,w,"10455487,10677569,10675502,10675494,10675485","None,None,None,None,None","None,None,None,None,None"
7858033,m,w,"8377836,7892387,7837249,8104222,8105155","None,None,None,None,None","None,None,None,None,None"
7691735,f,w,"8704980,8588492,8319209,8311934,8448691","None,None,None,None,None","None,None,None,None,None"
8789173,m,h,"7798622,8403385,8392990,8402796,8403168","None,None,None,None,None","None,None,None,None,None"
9527152,m,a,"10088444,9440248,9882999,10304211,9626424","None,None,None,None,None","None,None,None,None,None"
10217030,f,w,"8456143,8644947,8330544,8995282,8770611","None,None,None,None,None","None,None,None,None,None"
10104482,m,a,"9874247,10456915,9995018,10238128,9674154","None,None,None,None,None","None,None,None,None,None"
8787984,m,w,"7906362,8123253,8651848,8711215,7900732","None,None,None,None,None","None,None,None,None,None"
7921782,f,b,"8848316,8335423,8518069,8472523,8590627","None,None,None,None,None","None,None,None,None,None"
9222148,f,w,"9222148,9432540,10684249,10463711,10458886","None,None,None,None,None","None,None,None,None,None"
9674467,m,w,"9904690,10000395,10137940,10137941,10137943","None,None,None,None,None","None,None,None,None,None"
9273611,m,w,"10307152,10107021,9832125,9830385,8904276","None,None,None,None,None","None,None,None,None,None"
10480740,m,w,"9730238,9314332,9111952,9113060,9739377","None,None,None,None,None","None,None,None,None,None"
10361543,f,h,"9070606,8882399,9132232,9132231,9132236","None,None,None,None,None","None,None,None,None,None"
10241405,m,w,"9940253,10475575,10678643,10016244,8521390","None,None,None,None,None","None,None,None,None,None"
8300031,f,w,"9993519,9689765,9787504,10406325,9949706","None,None,None,None,None","None,None,None,None,None"
9339325,f,h,"9274534,9344536,9303771,9236031,9126421","None,None,None,None,None","None,None,None,None,None"
8814164,m,w,"10673319,10674221,10674274,10674294,10630048","None,None,None,None,None","None,None,None,None,None"
7924122,f,w,"8083292,8092666,8681302,8695281,8660275","None,None,None,None,None","None,None,None,None,None"
9672444,f,h,"7618069,7790090,7790073,7575295,7618059","None,None,None,None,None","None,None,None,None,None"
8672569,m,w,"9248861,8676145,8676353,8677142,8676356","None,None,None,None,None","None,None,None,None,None"
9688831,f,w,"7929910,7660475,7929918,7929917,7929916","None,None,None,None,None","None,None,None,None,None"
10374944,m,w,"9674739,10134236,10656177,10656178,10656180","None,None,None,None,None","None,None,None,None,None"
10208856,m,h,"9573423,9573420,9729921,9756189,9748489","None,None,None,None,None","None,None,None,None,None"
10197904,m,a,"10316192,10183229,10160881,10160882,10160883","None,None,None,None,None","None,None,None,None,None"
8520046,m,w,"8599327,8402103,8399015,8458891,8387985","None,None,None,None,None","None,None,None,None,None"
9332366,f,w,"10002145,10474617,10921909,10690514,10215159","None,None,None,None,None","None,None,None,None,None"
8920545,m,w,"9608674,10234116,10470742,10470773,10470777","None,None,None,None,None","None,None,None,None,None"
10013563,m,w,"10013563,10015531,9900258,9900281,9900284","None,None,None,None,None","None,None,None,None,None"
7778742,m,w,"7859631,8279456,7568246,7631217,7865498","None,None,None,None,None","None,None,None,None,None"
8849042,m,w,"8829089,9067179,9067185,9053406,9054052","None,None,None,None,None","None,None,None,None,None"
8879187,f,b,"8353089,8534278,9105405,8907806,8690139","None,None,None,None,None","None,None,None,None,None"
9612492,m,w,"9534476,9619138,9747174,9747175,9747176","None,None,None,None,None","None,None,None,None,None"
7903428,f,w,"7915187,8132421,7915186,8119428,8119429","None,None,None,None,None","None,None,None,None,None"
8920695,m,h,"8033911,8326147,8137962,8143464,8137964","None,None,None,None,None","None,None,None,None,None"
10245896,m,a,"10001088,10002554,10002492,10002460,10002425","None,None,None,None,None","None,None,None,None,None"
7573426,m,w,"7939083,7940613,7940030,7940298,7938229","None,None,None,None,None","None,None,None,None,None"
7656696,m,h,"8051793,8054105,7788835,7788847,7788841","None,None,None,None,None","None,None,None,None,None"
8376563,m,w,"8705393,8526375,8526374,8499258,8526376","None,None,None,None,None","None,None,None,None,None"
9100656,m,h,"9119749,9484138,9631983,9462565,9631982","None,None,None,None,None","None,None,None,None,None"
9067860,m,w,"8857123,8716704,8669786,8471943,9886701","None,None,None,None,None","None,None,None,None,None"
10439933,f,w,"9438175,9828995,10218084,10221638,10225313","None,None,None,None,None","None,None,None,None,None"
9893850,f,w,"10318876,10684229,10474478,10491098,10491243","None,None,None,None,None","None,None,None,None,None"
9852507,f,w,"10401852,9986038,10610403,10163917,9852507","None,None,None,None,None","None,None,None,None,None"
7750586,m,w,"8665891,8775130,8580932,8927099,7997152","None,None,None,None,None","None,None,None,None,None"
9752514,m,w,"8899508,9124615,9114123,9124658,9114119","None,None,None,None,None","None,None,None,None,None"
9547256,m,w,"10622206,10622125,10622209,10622211,10622210","None,None,None,None,None","None,None,None,None,None"
10691911,m,w,"9983603,9755201,9979770,9983597,9983599","None,None,None,None,None","None,None,None,None,None"
9989552,m,w,"10861608,10730209,10730230,10730709,10730723","None,None,None,None,None","None,None,None,None,None"
8365163,m,w,"8655192,8365123,8365121,8099567,8365144","None,None,None,None,None","None,None,None,None,None"
7905197,m,w,"8628203,8356892,8173531,8173530,8173529","None,None,None,None,None","None,None,None,None,None"
9533996,f,w,"9750630,9323620,9323621,9322141,9332148","None,None,None,None,None","None,None,None,None,None"
8056801,f,w,"8566002,8566006,8292169,8298255,8513977","None,None,None,None,None","None,None,None,None,None"
9475082,f,w,"10704611,10705775,10705788,10705796,10705800","None,None,None,None,None","None,None,None,None,None"
7797602,f,b,"9179553,9071424,8974185,8968190,8968191","None,None,None,None,None","None,None,None,None,None"
8691551,m,w,"8462439,8810679,8464492,8462800,8462837","None,None,None,None,None","None,None,None,None,None"
7658237,m,w,"8091253,8323482,8294690,7742104,7741997","None,None,None,None,None","None,None,None,None,None"
8375469,f,w,"8442369,7675903,7675906,7675907,7675908","None,None,None,None,None","None,None,None,None,None"
9900325,f,h,"10017414,10015572,9900287,9900325,9900395","None,None,None,None,None","None,None,None,None,None"
8659423,m,w,"9260357,9693918,9542176,9520140,9520125","None,None,None,None,None","None,None,None,None,None"
9978601,m,w,"10450035,10038020,10038022,10038023,10038236","None,None,None,None,None","None,None,None,None,None"
8399839,m,w,"10705296,10530269,10707966,10707960,10707954","None,None,None,None,None","None,None,None,None,None"
9565766,m,w,"10383760,10134353,10617824,10617828,10617829","None,None,None,None,None","None,None,None,None,None"
9317706,f,w,"7959566,7651093,7959603,7959602,7959600","None,None,None,None,None","None,None,None,None,None"
9514768,f,w,"9054069,9514730,9514748,9514726,9514736","None,None,None,None,None","None,None,None,None,None"
9550778,m,b,"10271164,10570305,10360627,10441141,10544320","None,None,None,None,None","None,None,None,None,None"
8066691,m,h,"9119111,8639741,9097820,9100731,9129753","None,None,None,None,None","None,None,None,None,None"
9414391,m,w,"10433227,10263907,10259828,9971086,9970999","None,None,None,None,None","None,None,None,None,None"
9608711,m,w,"8105717,7881462,7900542,7900541,7900540","None,None,None,None,None","None,None,None,None,None"
10404437,m,w,"10614917,9952366,10208881,9853306,10685713","None,None,None,None,None","None,None,None,None,None"
9522003,m,w,"8144939,7616961,8330246,8545225,8545224","None,None,None,None,None","None,None,None,None,None"
9263859,f,w,"9105617,9514735,9514752,9514751,9514746","None,None,None,None,None","None,None,None,None,None"
10525192,f,w,"10688251,10688247,10688115,10688113,10688112","None,None,None,None,None","None,None,None,None,None"
8790574,m,h,"9476609,9843563,10075306,9619408,9123667","None,None,None,None,None","None,None,None,None,None"
9644048,f,a,"10637036,10456915,9995018,10150302,9874247","None,None,None,None,None","None,None,None,None,None"
8461242,f,w,"9391664,9016529,9232149,9198000,9198001","None,None,None,None,None","None,None,None,None,None"
9085450,m,w,"9285871,9293376,9288227,9290964,9293398","None,None,None,None,None","None,None,None,None,None"
7941872,m,w,"7937915,7937071,7935431,7934575,7933804","None,None,None,None,None","None,None,None,None,None"
8894056,m,w,"10704049,10127119,10264960,10456128,10267723","None,None,None,None,None","None,None,None,None,None"
9052094,f,w,"9266787,9088204,9514747,9552670,9514739","None,None,None,None,None","None,None,None,None,None"
9985190,m,b,"8784175,8914169,9119535,8530163,8391950","None,None,None,None,None","None,None,None,None,None"
9352740,m,w,"10450035,10038020,10038022,10038023,10038236","None,None,None,None,None","None,None,None,None,None"
8690906,m,w,"8153358,8153297,8153252,8153254,7982305","None,None,None,None,None","None,None,None,None,None"
9557571,f,w,"9134184,9495571,9340008,9341006,9349356","None,None,None,None,None","None,None,None,None,None"
8377944,m,w,"8377176,8675960,8685780,8477315,8477314","None,None,None,None,None","None,None,None,None,None"
7856355,f,w,"8115016,7585966,7816784,7895738,7692133","None,None,None,None,None","None,None,None,None,None"
8284352,m,h,"7848683,7996282,8856678,8697158,9090182","None,None,None,None,None","None,None,None,None,None"
7764313,f,w,"8529453,8379409,8381174,8381180,8137842","None,None,None,None,None","None,None,None,None,None"
10499403,m,w,"10045293,10190912,10457887,10457886,10457885","None,None,None,None,None","None,None,None,None,None"
8337273,m,w,"10455006,10468327,10501505,10099785,10102015","None,None,None,None,None","None,None,None,None,None"
8707989,f,w,"9186335,10003297,9964680,9964683,9976478","None,None,None,None,None","None,None,None,None,None"
8231456,m,h,"8850656,8849086,8852457,8851180,9128128","None,None,None,None,None","None,None,None,None,None"
8642228,m,w,"9142295,9606462,9486995,9123561,9105754","None,None,None,None,None","None,None,None,None,None"
9096099,f,w,"10713763,10713760,10713311,10713312,10713313","None,None,None,None,None","None,None,None,None,None"
9207637,f,w,"9296605,8803122,8893911,8900958,8930126","None,None,None,None,None","None,None,None,None,None"
8440888,m,w,"8662615,8574149,8450815,8460062,8459489","None,None,None,None,None","None,None,None,None,None"
10065441,m,w,"8554494,9604763,9186941,8975583,9828646","None,None,None,None,None","None,None,None,None,None"
