APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9936066,9962481,10178079,10208941,10435711","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"9701260,9354508,9729825,9747948,9537659","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9455450,9567637,9697816,9277472,9098205","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10195469,10380875,10208164,10207226,10202909","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10017961,10693345,10555519,9907503,10216255","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9475566,9321301,9931275,9931288,9931291","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8264290,7638021,7940064,7692869,8997998","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8702135,8519011,9038278,8662246,8631059","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10242554,10001431,9804175,9804174,9804173","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10159909,10004300,10136598,10159261,10669134","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9548545,9390021,9782700,9782699,9782697","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"10666463,10407836,10407759,10407758,10407757","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9484828,9484404,9693081,9693080,9693079","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9411062,9493320,8977236,9617179,9617181","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8186757,8479319,8479320,8532645,8532646","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8903982,8251935,8251929,8251945,8257068","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7696442,8533716,7914248,8112678,7931855","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9838705,9872123,9844531,10468080,10383653","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7656630,7640748,8097991,8101260,7898551","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"10241363,10226148,10251215,10251229,10252074","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8644947,8330544,8456143,8813609,9211357","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9265501,9698963,9071839,9076109,9069470","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9902788,9902839,9902838,9902085,8072526","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8722121,8876643,9450411,9449587,10242454","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10480940,10661792,10480949,10480955,10480956","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9966866,9524800,9767650,9767649,9767011","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9154487,9152898,9153169,9344529,9320966","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10460957,9752517,9750294,9750295,9750297","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8846544,8846546,8846543,9320706,9320704","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9319995,9487321,9320071,9707692,9869047","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10543752,10307481,10540307,10534779,10534776","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9321184,9987622,10015256,9189072,9188204","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8360404,8168306,8168044,8168043,8168316","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9812473,10883873,9812548,10343818,10406342","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"9577581,9981830,10224900,9773226,8213295","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9551493,9519771,9523333,9519841,9531219","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9052819,9691128,9462849,9462617,9468351","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"9569732,9449797,9457753,9459190,9450090","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8759277,9640432,9064180,9004615,9066616","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"8725993,8222946,8338454,8338455,8545885","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"8758050,10701771,10514064,8369767,8367889","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9137626,9748858,9336710,9336711,9336164","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9309081,9193112,10749846,10749845,10749843","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"10611770,10611097,10611639,10611662,10611691","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8462561,7669839,7670055,7670054,7670045","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"10809410,10800561,10809411,10809407,10809405","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8460327,8459070,8460376,8459117,8460323","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"8707400,8699693,8014602,8149926,8532854","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9503633,9729464,9050465,9049927,9049946","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"8330246,8150047,8379002,8545225,8545224","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10569619,10343347,10347760,10348223,10557171","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"7892345,7903244,7892341,7647927,7892460","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"9278828,9278724,9902185,10111500,10132288","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"8307828,7903988,8114132,7910620,7895839","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8381416,8380605,8381418,8380065,8380066","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8360497,8360174,8359578,8359581,8359582","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"10134999,9287828,9679464,9679463,9679461","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8045902,8534877,8381700,8326552,8381697","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"8319431,8653603,8016853,8146167,10456830","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8257981,8268444,8447113,7691302,7689126","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8068885,8092708,8365223,8365224,8365225","None,None,None,None,None","None,None,None,None,None"
