APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9335971,9477768,9090775,9089463,9313927","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8536036,8925858,9123843,8732625,8721480","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9244118,9702822,9121568,9121571,9118287","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"7644994,7660380,7897658,7914129,7881468","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10436562,10601083,10589556,9787504,9949706","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10759735,10760002,10759550,10709636,10592780","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7919183,8100298,8467802,8690240,7884497","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9544151,9965878,10241239,9411341,9743795","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10017961,9907503,10216255,10693345,10598623","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9948263,10355532,10210397,10171852,10171851","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10475130,10692634,10692639,10250428,10250429","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9857598,9741953,10114279,8043877,8045219","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9707610,9406051,9129560,9852922,9966061","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9478869,8977241,8978023,8977971,8977737","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10684552,9906360,10617940,10017652,10019329","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"7794928,7798552,7876956,7806393,7884581","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7927152,8535523,7725549,7727407,7726333","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9264661,9264681,9264670,9264682,9203123","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8494063,7738830,8136058,8304914,8305556","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9518518,9700448,9267912,9267910,9267909","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8456143,8330544,8644947,8848144,8720831","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"7759425,7759706,7759069,7892935,7886480","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10473768,9824374,10250326,10686278,10686120","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"10372955,10436179,9512284,9684606,9660552","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9564866,9782896,9762092,9763619,9763620","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10656300,10008512,10208683,10449317,8111776","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"10840200,10275726,10273747,10277070,10697357","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"9995019,9590381,9590189,9590264,9776511","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"9301606,8921272,8881251,8881252,8921277","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9320071,9471784,9559620,9491912,9707692","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10219251,10017222,9831503,9831424,10421390","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8333456,8261637,8911300,8911299,8333429","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"7960389,8360272,7959955,7959952,7663142","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9597601,9753104,10165449,9927973,10413034","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"9894581,10479208,10492010,10662567,9869524","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9753104,10165449,9927973,10413034,9597601","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9088306,9253807,9306758,9320750,9306761","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"9995024,9713886,10168669,10421288,10468871","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8376006,7640854,8043513,7812202,8061610","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10226692,10217221,10459080,10457740,9367498","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"9787108,9789137,10450087,10432056,10404992","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9554642,9554607,9554610,9557462,9554639","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9309081,9193112,8147759,8048337,8048469","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8537085,8310258,8150476,8150462,8020664","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9012766,9654668,9637234,9637231,9223660","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9966081,9733764,9693088,9696241,10161617","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8726766,8528516,8460376,8459117,8460323","None,None,None,None,None","None,None,None,None,None"
