APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9269542,9271166,9076555,9077924,9078547","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"7911405,7684273,7671509,7669240,7921317","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10618984,10200405,10200242,10198354,10651389","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10380776,10201986,10380875,10394326,10208164","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10337316,9884761,10549319,10104483,9638710","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10437398,10657758,10662508,10662507,10659234","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"9004613,8809724,9221293,8810480,8808015","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8848144,8847406,8722779,8720831,8657324","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10248307,9774346,9569741,9569592,9570787","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7885526,8296318,8294929,7647114,7647336","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9205080,9205191,10003928,10003929,10003930","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9102063,8996159,8897628,8725121,8634767","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8935910,9326322,9545015,8899195,8899681","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9614843,9201287,9404935,9404930,9404929","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10218160,10058125,10059767,10059765,10058981","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"7621056,7613471,7612084,7622082,7637363","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"9300880,9118942,8984583,9130814,8984998","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10012945,9938275,10208490,10550187,10582607","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7657324,7901544,7856111,7649262,7645736","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"10576685,10576770,10564098,10576452,10577314","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"10695180,10124706,10311121,10472559,10524741","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"10488972,10488409,10488978,10263628,10263653","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10492768,10694184,10689796,10689798,10689801","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"10501614,10683379,10087167,10470179,10265512","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"8727535,8215166,8546371,8546355,8547128","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9312526,9312412,9312525,9312530,9312410","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"7934576,8132282,7931921,7931877,8260962","None,None,None,None,None","None,None,None,None,None"
