APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9657194,10083763,9843530,10335171,9174325","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8721480,8336923,8732625,9123843,8890180","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9494700,9177874,9812311,9706654,9319816","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9264682,9264670,9264681,9264661,8996081","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10435518,10226352,10226341,10226321,10655345","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10378786,10665746,10491953,10595133,10595896","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7884497,8100298,7919183,7664619,8690240","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8519231,8699120,7911060,7919873,7919878","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9543928,9403607,9929450,10174983,10174984","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9044778,9670111,9044774,9044776,9247185","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8847623,9291406,9065464,8605381,8460025","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9857598,10114279,9741953,7798339,7798326","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9581300,9129560,9852922,9966061,9435001","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"8069346,7625245,8381387,8381388,7826881","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8053807,8468650,7680842,7668109,7685837","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8004987,7612658,7876956,7806393,7884581","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10455604,9985110,10249959,9789925,9678234","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"8265813,8037684,7643632,7643067,7637487","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"10512719,10692678,9736623,9312232,9312233","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8788949,9198246,9529663,8823639,9197309","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"9853327,10159980,9990853,10360448,9912346","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"7912856,7886480,7759069,7759706,7759425","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9520064,9744635,9382042,9536742,9381725","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8722121,8876643,9342714,9338192,9503156","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"7677825,7678500,8054108,7676082,7674783","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"8721335,8547268,8880116,8870291,8926364","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"10480007,10274937,10489744,10489769,10493321","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"9339683,9183807,9590189,9995019,9590381","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"7989616,8377951,8032667,8377178,8377176","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"10336530,10557178,10151850,7755169,8309876","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9762106,9928049,9985131,9995496,10163188","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8535751,8926974,8333456,8333429,8527771","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"10471624,10478536,10479606,10614049,10620856","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9927973,9597601,9753104,10165449,10413034","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"9641707,10207407,10330028,9957603,10038351","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9597601,9753104,10165449,9927973,10413034","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9011505,8892766,8891700,9437665,9437652","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10515459,10598626,10615485,10616930,10669767","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8641735,8209570,8448656,8307769,8822937","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"8307505,8532854,8707400,8014602,8149926","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10031380,10037760,10037854,10037968,9914200","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9748859,9103992,9748858,9137623,9137625","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"7892950,7889020,7675307,7664608,7895625","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"10710052,10578616,10578579,10578526,10578468","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9975095,9822061,9939445,9936155,9935964","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"10809411,10800561,10800499,10800500,10800504","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9478513,9479644,9476389,9478480,9476678","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"9627120,9627117,9627669,9627119,9627668","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"7618058,7618059,8447602,8447600,8737348","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"8281679,8053901,7868610,7617255,7617258","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10586094,10569619,10557171,10348223,10347760","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"10006152,9781464,10003929,10003928,9562020","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"7588443,7849076,8075097,8073440,7849074","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"8722021,8534277,8757713,8911359,8904715","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8915478,8915479,8475566,8475563,8475567","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"7659589,7624174,7673567,7673584,7667944","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"9497756,10149230,10131127,10131128,10131129","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"9044149,7895656,8360478,7959574,7959573","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"8604915,8825531,9022512,9245732,7631353","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8686742,8410185,8704267,8691723,8681356","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"7900152,8094441,8365118,8365117,8365116","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"7848533,8079051,7917330,7796669,7582243","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"9507884,9119041,9108388,9347029,9305100","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"8097114,7810562,7862518,8127920,8529834","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10450686,10432056,10173608,9963133,10404992","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"10308509,10470088,10128864,10130308,10130323","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"10104344,10321656,10426540,10426754,10427427","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"9685291,9787418,9686209,9785484,9786823","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"8229848,8229227,8514610,8514609,8335408","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"9810399,10251983,10657602,10017885,10017884","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"7630571,7626008,7642391,7576119,7626014","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"9702434,10087427,9705211,10551804,9937835","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"8551306,8295043,8545296,8295046,8295049","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"10324121,10654853,10492604,10490441,10490425","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"8332244,8336846,8189006,7845961,8272615","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9336090,9337098,9347271,9336634,9193834","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"8009167,8268752,8139436,8036395,8139439","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"7906058,7676017,7906765,7907542,7907544","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"7908145,7880349,7677989,7677986,7677984","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"7777536,7691720,7675361,7660406,7845690","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"9274328,9778989,8756564,8758202,8913969","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"9552433,9749887,8737743,8738707,9119536","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"8447834,8037445,8032920,8037313,10519152","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"7931855,8118202,8523445,8291433,7691405","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"8174662,8678989,8165332,8174304,8174211","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"7694378,7919509,8127697,7881980,7901642","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"10534683,9917266,10441633,10310689,10310690","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"7908066,7664374,7895795,9753104,9597601","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"10727983,10728179,10725821,10725869,10726020","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"8459827,8459770,8601748,8601749,8782643","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"8885651,8874104,8882257,8766909,8768636","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"8913969,9279139,8925885,8910705,8910704","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"9024533,9980397,8799363,9455720,9756578","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"10145592,10625294,10625286,10625281,10625274","None,None,None,None,None","None,None,None,None,None"
8318381,m,w,"8936340,9145709,9145739,8936260,8588708","None,None,None,None,None","None,None,None,None,None"
9071539,m,w,"9678234,9789925,10249959,9985110,10455604","None,None,None,None,None","None,None,None,None,None"
8120588,m,w,"8133638,8293006,8321866,8278428,9618294","None,None,None,None,None","None,None,None,None,None"
9548127,m,w,"8507787,8734264,8725987,8734265,8733077","None,None,None,None,None","None,None,None,None,None"
7858033,m,w,"8082090,8082279,8083216,8082107,8083231","None,None,None,None,None","None,None,None,None,None"
