APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8959886,8961416,9121688,9103741,9174325","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8890180,8541847,8925858,8536036,8536037","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10130607,10572302,10466580,10619007,9206524","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10166753,9737780,9931108,9937636,10174655","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10746147,10361741,10645854,10363505,10488757","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10760002,10759735,10759550,10592780,10709636","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10360627,10322155,10441141,10544320,10570305","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8712326,7920494,7920499,7911259,7919825","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9593147,10696473,9593059,9789913,9788516","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"8656335,8490589,8464108,8554435,8464113","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9562023,9390021,9562020,9548539,9548545","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"7590335,7901997,7980514,8133589,7980519","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9451956,9457245,9145862,9146147,9146205","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"7614372,7631377,7615108,7882867,8231792","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9968022,9743080,9729524,9729520,9729519","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"10379324,10251456,10379323,10379410,10379413","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7919258,7767257,7672429,7660318,7683893","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9655073,10101619,9654886,9654838,9654536","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7740575,8494063,8304914,7740475,7741453","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8605291,9198246,8603715,8605657,8605628","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"9623982,9747383,9935976,8729741,10217030","None,None,None,None,None","None,None,None,None,None"
